RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,NAV_FAIL,MANIP_FAIL,GRIP_FAIL,ENV_MANIP_FAIL,REACH_FAIL,FIND_FAIL,ENV_REACH_FAIL,TIME_SEC


0,,
0,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,0,47.251002073287964
0,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,13,134.3468849658966
0,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,1,0,7,91.02719712257385
0,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,18,0,4,141.21878504753113
0,,SUM,0,0,0,0,0,0,0,0,19,0,24,413.84386920928955
0,,
1,,
1,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,0,57.61534881591797
1,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,64,260.83829402923584
1,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,9,0,5,117.11022615432739
1,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,1,0,3,57.058024168014526
1,,SUM,0,0,0,0,0,0,0,0,10,0,72,492.6218931674957
1,,
2,,
