RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,NAV_FAIL,MANIP_FAIL,GRIP_FAIL,ENV_MANIP_FAIL,REACH_FAIL,FIND_FAIL,ENV_REACH_FAIL,TIME_SEC


0,,
0,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,5,0,0,62.415523052215576
0,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,40,154.1815791130066
0,JEROEN-CUP3,SUM,1,0,1,0,0,0,0,0,153,0,1,0.0
0,,SUM,1,0,1,0,0,0,0,0,158,0,41,216.59710216522217
0,,
1,,
1,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,4,54.34531211853027
1,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,14,89.78766083717346
1,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,24,0,37,164.06406593322754
1,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,0,0,3,51.80145001411438
1,,SUM,0,0,0,0,0,0,0,0,24,0,58,359.99848890304565
1,,
2,,
2,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,2,0,2,58.305673122406006
2,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,31,125.99975204467773
2,JEROEN-CUP3,SUM,1,0,1,0,0,0,0,0,153,0,1,0.0
2,,SUM,1,0,1,0,0,0,0,0,155,0,34,184.30542516708374
2,,
3,,
3,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,2,0,2,49.15434813499451
3,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,103,334.0220239162445
3,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,82,0,7,153.55708503723145
3,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,0,0,3,37.18909001350403
3,,SUM,0,0,0,0,0,0,0,0,84,0,115,573.9225471019745
3,,
4,,
4,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,0,32.502562046051025
4,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,2,0,32,151.9598491191864
4,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,42,0,5,123.45564484596252
4,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,0,0,3,36.71544694900513
4,,SUM,0,0,0,0,0,0,0,0,44,0,40,344.6335029602051
4,,
5,,
5,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,0,45.19919991493225
5,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,5,54.071205854415894
5,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,144,0,16,276.1718900203705
5,JEROEN-CUP4,SUM,1,0,0,1,0,0,0,0,63,0,0,0.0
5,,SUM,1,0,0,1,0,0,0,0,207,0,21,375.4422957897186
5,,
6,,
6,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,0,0,2,32.931102991104126
6,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,13,77.25911784172058
6,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,120,0,78,394.2890319824219
6,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,0,0,0,75.16480207443237
6,,SUM,0,0,0,0,0,0,0,0,120,0,93,579.644054889679
6,,
7,,
7,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,5,0,4,63.852766036987305
7,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,58,214.97352194786072
7,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,48,0,20,164.7517249584198
7,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,16,0,0,56.717636823654175
7,,SUM,0,0,0,0,0,0,0,0,69,0,82,500.295649766922
7,,
8,,
8,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,2,0,0,35.286258935928345
8,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,39,198.37198519706726
8,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,129,0,32,276.0362620353699
8,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,0,0,1,39.49596691131592
8,,SUM,0,0,0,0,0,0,0,0,131,0,72,549.1904730796814
8,,
9,,
9,JEROEN-CUP1,SUM,0,0,0,0,0,0,0,0,2,0,2,49.778125047683716
9,JEROEN-CUP2,SUM,0,0,0,0,0,0,0,0,0,0,17,95.23365521430969
9,JEROEN-CUP3,SUM,0,0,0,0,0,0,0,0,126,0,34,333.8166399002075
9,JEROEN-CUP4,SUM,0,0,0,0,0,0,0,0,4,0,1,58.74446082115173
9,,SUM,0,0,0,0,0,0,0,0,132,0,54,537.5728809833527
9,,
