RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,NAV_FAIL,MANIP_FAIL,GRIP_FAIL,ENV_MANIP_FAIL,REACH_FAIL,FIND_FAIL,ENV_REACH_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,0,0,0,0,0,0,24.14158606529236
0,SPOON,SUM,0,0,0,0,0,0,0,0,0,0,0,43.65066409111023
0,,SUM,0,0,0,0,0,0,0,0,0,0,0,67.79225015640259
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,0,0,0,0,0,0,20.369695901870728
1,SPOON,SUM,0,0,0,0,0,1,0,0,0,0,1,51.16162586212158
1,,SUM,0,0,0,0,0,1,0,0,0,0,1,71.53132176399231
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,0,0,0,0,0,0,29.217547178268433
2,SPOON,SUM,0,0,0,0,0,0,0,0,0,0,0,46.0337769985199
2,,SUM,0,0,0,0,0,0,0,0,0,0,0,75.25132417678833
2,,
