RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,4,4,17.38674306869507
0,CUP,SUM,1,0,0,1,0,336,70,0.0
0,SPOON,SUM,0,0,0,0,0,2,0,14.158383131027222
0,,SUM,1,0,0,1,0,342,74,31.54512619972229
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,44,6,15.820966005325317
1,CUP,SUM,0,0,0,0,6,26,5,16.324048042297363
1,SPOON,SUM,0,0,0,0,0,358,1,37.488423109054565
1,,SUM,0,0,0,0,6,428,12,69.63343715667725
1,,
2,,
2,BOWL,SUM,0,0,0,0,2,318,16,38.21247601509094
2,CUP,SUM,0,0,0,0,0,4,2,11.197307825088501
2,SPOON,SUM,0,0,0,0,30,470,0,56.631958961486816
2,,SUM,0,0,0,0,32,792,18,106.04174280166626
2,,
3,,
3,BOWL,SUM,0,0,0,0,136,140,11,84.6933240890503
3,CUP,SUM,0,0,0,0,0,95,25,40.52929711341858
3,SPOON,SUM,0,0,0,0,0,230,10,33.19463300704956
3,,SUM,0,0,0,0,136,465,46,158.41725420951843
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,19,1,13.272509813308716
4,CUP,SUM,0,0,0,0,0,6,1,9.672878980636597
4,SPOON,SUM,0,0,0,0,0,95,1,19.15848994255066
4,,SUM,0,0,0,0,0,120,3,42.10387873649597
4,,
5,,
5,BOWL,SUM,0,0,0,0,2,10,0,11.854227781295776
5,CUP,SUM,0,0,0,0,0,77,26,42.77812099456787
5,SPOON,SUM,0,0,0,0,0,60,11,25.41764998435974
5,,SUM,0,0,0,0,2,147,37,80.04999876022339
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,7,2,11.380239009857178
6,CUP,SUM,0,0,0,0,0,25,13,13.7520170211792
6,SPOON,SUM,0,0,0,0,2,53,2,20.646291971206665
6,,SUM,0,0,0,0,2,85,17,45.77854800224304
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,43,12,20.595612049102783
7,CUP,SUM,0,0,0,0,0,42,5,15.395230054855347
7,SPOON,SUM,0,0,0,0,0,255,1,31.796453952789307
7,,SUM,0,0,0,0,0,340,18,67.78729605674744
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,15,1,13.313484191894531
8,CUP,SUM,0,0,0,0,2,45,7,14.536288976669312
8,SPOON,SUM,0,0,0,0,0,50,0,16.836424112319946
8,,SUM,0,0,0,0,2,110,8,44.68619728088379
8,,
9,,
9,BOWL,SUM,0,0,0,0,2,12,4,13.97064995765686
9,CUP,SUM,0,0,0,0,0,36,4,13.520473957061768
9,SPOON,SUM,0,0,0,0,0,261,3,31.707485914230347
9,,SUM,0,0,0,0,2,309,11,59.198609828948975
9,,
10,,
10,BOWL,SUM,0,0,0,0,56,710,16,86.75786304473877
10,CUP,SUM,0,0,0,0,0,11,5,9.974384069442749
10,SPOON,SUM,0,0,0,0,0,5,0,14.488665103912354
10,,SUM,0,0,0,0,56,726,21,111.22091221809387
10,,
11,,
