RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,138,15,75.3049719334
0,CUP,SUM,0,0,0,0,2,70,32,101.0338499546
0,SPOON,SUM,0,0,0,0,0,17,5,29.6104519367
0,,SUM,0,0,0,0,2,225,52,205.9492738247
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,8,15,2,30.0878350735
1,CUP,SUM,0,0,0,0,0,16,23,53.1738681793
1,SPOON,SUM,0,0,0,0,0,6,1,27.0789780617
1,,SUM,0,0,0,0,8,37,26,110.3406813145
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,16,0,22.844892025
2,CUP,SUM,0,0,0,0,0,19,11,41.6243469715
2,SPOON,SUM,0,0,0,0,0,23,0,22.9717931747
2,,SUM,0,0,0,0,0,58,11,87.4410321712
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,2,112,8,50.6702320576
3,CUP,SUM,0,0,0,0,0,36,38,96.9589431286
3,SPOON,SUM,0,0,0,0,0,76,6,39.0840120316
3,,SUM,0,0,0,0,2,224,52,186.7131872177
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,5,0,22.2387940884
4,CUP,SUM,1,0,0,1,6,248,55,0
4,SPOON,SUM,1,0,0,1,0,121,160,0
4,,SUM,2,0,0,2,6,374,215,22.2387940884
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,0,1,0,8,390,54,0
5,CUP,SUM,1,0,0,1,0,213,60,0
5,SPOON,SUM,0,0,0,0,0,5,3,27.2612359524
5,,SUM,2,0,1,1,8,608,117,27.2612359524
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,9,2,22.673058033
6,CUP,SUM,0,0,0,0,6,31,22,70.6414401531
6,SPOON,SUM,0,0,0,0,0,18,3,29.1131939888
6,,SUM,0,0,0,0,6,58,27,122.4276921749
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,6,44,0,29.2684800625
7,CUP,SUM,0,0,0,0,2,10,22,50.4349210262
7,SPOON,SUM,0,0,0,0,2,67,3,40.0919339657
7,,SUM,0,0,0,0,10,121,25,119.7953350544
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,264,11,68.3371310234
8,CUP,SUM,0,0,0,0,0,3,12,31.7061481476
8,SPOON,SUM,0,0,0,0,2,2,2,24.1988868713
8,,SUM,0,0,0,0,2,269,25,124.2421660423
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,14,0,22.1489799023
9,CUP,SUM,0,0,0,0,0,24,8,26.4787039757
9,SPOON,SUM,1,0,1,0,16,1388,34,0
9,,SUM,1,0,1,0,16,1426,42,48.6276838779
9,,,,,,,,,,
10,,,,,,,,,,
