RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,61,7,45.81942796707153
0,CUP,SUM,1,0,1,0,6,667,99,0.0
0,SPOON,SUM,1,0,1,0,2,1581,0,0.0
0,,SUM,2,0,2,0,8,2309,106,45.81942796707153
0,,
1,,
1,BOWL,SUM,0,0,0,0,6,186,3,36.1382942199707
1,CUP,SUM,1,0,0,1,0,1590,19,0.0
1,SPOON,SUM,1,0,1,0,2,2259,0,0.0
1,,SUM,2,0,1,1,8,4035,22,36.1382942199707
1,,
2,,
2,BOWL,SUM,1,0,1,0,0,1601,0,0.0
2,CUP,SUM,1,0,1,0,2,1085,55,0.0
2,SPOON,SUM,1,0,1,0,0,1857,0,0.0
2,,SUM,3,0,3,0,2,4543,55,0.0
2,,
3,,
3,BOWL,SUM,0,0,0,0,4,597,0,75.75787878036499
3,CUP,SUM,0,0,0,0,0,338,4,46.398179054260254
3,SPOON,SUM,1,0,1,0,0,1570,6,0.0
3,,SUM,1,0,1,0,4,2505,10,122.15605783462524
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,57,6,30.878013849258423
4,CUP,SUM,1,0,1,0,8,630,79,0.0
4,SPOON,SUM,1,0,1,0,10,1567,3,0.0
4,,SUM,2,0,2,0,18,2254,88,30.878013849258423
4,,
5,,
5,BOWL,SUM,1,0,1,0,2,1595,0,0.0
5,CUP,SUM,1,0,1,0,2,240,109,0.0
5,SPOON,SUM,1,0,1,0,0,1697,0,0.0
5,,SUM,3,0,3,0,4,3532,109,0.0
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,102,2,25.570691108703613
6,CUP,SUM,1,0,1,0,2,2412,26,0.0
6,SPOON,SUM,0,0,0,0,8,137,2,40.028680086135864
6,,SUM,1,0,1,0,10,2651,30,65.59937119483948
6,,
7,,
7,BOWL,SUM,1,0,1,0,0,1605,0,0.0
7,CUP,SUM,0,0,0,0,6,871,2,97.5047128200531
7,SPOON,SUM,1,0,1,0,0,1591,0,0.0
7,,SUM,2,0,2,0,6,4067,2,97.5047128200531
7,,
8,,
8,BOWL,SUM,1,0,1,0,0,1588,0,0.0
8,CUP,SUM,1,0,0,1,2,1634,6,0.0
8,SPOON,SUM,1,1,0,0,0,1519,0,0.0
8,,SUM,3,1,1,1,2,4741,6,0.0
8,,
9,,
9,BOWL,SUM,1,1,0,0,0,1519,0,0.0
9,CUP,SUM,1,1,0,0,0,1519,0,0.0
9,SPOON,SUM,1,0,1,0,0,1581,0,0.0
9,,SUM,3,2,1,0,0,4619,0,0.0
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,44,2,26.29835319519043
10,CUP,SUM,1,0,1,0,0,651,99,0.0
10,SPOON,SUM,1,0,1,0,0,1599,0,0.0
10,,SUM,2,0,2,0,0,2294,101,26.29835319519043
10,,
11,,
11,BOWL,SUM,1,0,1,0,10,1587,0,0.0
11,CUP,SUM,1,0,0,1,0,1608,0,0.0
11,SPOON,SUM,1,0,1,0,0,1664,0,0.0
11,,SUM,3,0,2,1,10,4859,0,0.0
11,,
12,,
12,BOWL,SUM,0,0,0,0,10,689,7,100.23853302001953
12,CUP,SUM,0,0,0,0,0,189,7,33.26832699775696
12,SPOON,SUM,1,0,1,0,0,1581,0,0.0
12,,SUM,1,0,1,0,10,2459,14,133.5068600177765
12,,
13,,
13,BOWL,SUM,1,0,1,0,2,1622,0,0.0
13,CUP,SUM,1,0,0,1,2,1555,15,0.0
13,SPOON,SUM,1,0,1,0,0,1581,0,0.0
13,,SUM,3,0,2,1,4,4758,15,0.0
13,,
14,,
14,BOWL,SUM,0,0,0,0,0,184,3,36.78994584083557
14,CUP,SUM,1,0,1,0,2,1321,36,0.0
14,SPOON,SUM,1,0,1,0,26,996,39,0.0
14,,SUM,2,0,2,0,28,2501,78,36.78994584083557
14,,
15,,
15,BOWL,SUM,1,0,1,0,0,1709,0,0.0
15,CUP,SUM,1,0,1,0,0,1290,36,0.0
15,SPOON,SUM,0,0,0,0,0,143,0,32.58703017234802
15,,SUM,2,0,2,0,0,3142,36,32.58703017234802
15,,
16,,
16,BOWL,SUM,1,0,1,0,0,1615,0,0.0
16,CUP,SUM,1,0,1,0,0,1587,0,0.0
16,SPOON,SUM,1,0,1,0,0,1582,0,0.0
16,,SUM,3,0,3,0,0,4784,0,0.0
16,,
17,,
17,BOWL,SUM,1,0,1,0,0,1621,0,0.0
17,CUP,SUM,0,0,0,0,0,93,8,23.781898021697998
17,SPOON,SUM,1,0,1,0,0,1584,0,0.0
17,,SUM,2,0,2,0,0,3298,8,23.781898021697998
17,,
18,,
18,BOWL,SUM,0,0,0,0,0,254,6,44.5993812084198
18,CUP,SUM,0,0,0,0,0,799,0,87.45939779281616
18,SPOON,SUM,1,0,1,0,2,1585,0,0.0
18,,SUM,1,0,1,0,2,2638,6,132.05877900123596
18,,
19,,
19,BOWL,SUM,1,0,1,0,0,1593,0,0.0
19,CUP,SUM,1,0,0,1,10,1667,9,0.0
