RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,9,3,40.568618059158325
0,CUP,SUM,0,0,0,0,0,17,6,38.27983093261719
0,SPOON,SUM,0,0,0,0,0,4,0,26.354867935180664
0,,SUM,0,0,0,0,0,30,9,105.20331692695618
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,43,7,39.81366300582886
1,CUP,SUM,0,0,0,0,14,13,2,29.419294118881226
1,SPOON,SUM,0,0,0,0,4,30,0,28.404908180236816
1,,SUM,0,0,0,0,18,86,9,97.6378653049469
1,,
2,,
2,BOWL,SUM,0,0,0,0,2,3,4,30.776752948760986
2,CUP,SUM,0,0,0,0,0,12,9,25.92041516304016
2,SPOON,SUM,0,0,0,0,0,898,0,149.74242281913757
2,,SUM,0,0,0,0,2,913,13,206.43959093093872
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,19,2,23.52532386779785
3,CUP,SUM,0,0,0,0,0,13,0,21.999826192855835
3,SPOON,SUM,1,0,1,0,26,1598,0,0.0
3,,SUM,1,0,1,0,26,1630,2,45.52515006065369
3,,
4,,
4,BOWL,SUM,0,0,0,0,2,10,3,35.20064306259155
4,CUP,SUM,0,0,0,0,2,27,7,44.037792921066284
4,SPOON,SUM,1,0,1,0,0,1581,0,0.0
4,,SUM,1,0,1,0,4,1618,10,79.23843598365784
4,,
5,,
5,BOWL,SUM,1,0,1,0,2,1584,0,0.0
5,CUP,SUM,0,0,0,0,0,49,30,139.7995240688324
5,SPOON,SUM,0,0,0,0,2,13,5,36.017853021621704
5,,SUM,1,0,1,0,4,1646,35,175.8173770904541
5,,
6,,
6,BOWL,SUM,0,0,0,0,2,39,0,28.55128002166748
6,CUP,SUM,0,0,0,0,0,11,6,26.346949815750122
6,SPOON,SUM,1,0,1,0,82,791,0,0.0
6,,SUM,1,0,1,0,84,841,6,54.8982298374176
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,129,6,41.425143003463745
7,CUP,SUM,0,0,0,0,0,15,6,29.99735116958618
7,SPOON,SUM,0,0,0,0,0,228,18,76.04751491546631
7,,SUM,0,0,0,0,0,372,30,147.47000908851624
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,11,0,23.25432014465332
8,CUP,SUM,0,0,0,0,0,36,16,68.9482409954071
8,SPOON,SUM,0,0,0,0,2,220,10,71.21113395690918
8,,SUM,0,0,0,0,2,267,26,163.4136950969696
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,14,2,22.725230932235718
9,CUP,SUM,0,0,0,0,4,244,23,92.57111692428589
9,SPOON,SUM,0,0,0,0,0,33,0,30.83648705482483
9,,SUM,0,0,0,0,4,291,25,146.13283491134644
9,,
10,,
10,BOWL,SUM,1,0,1,0,10,1565,0,0.0
10,CUP,SUM,0,0,0,0,0,32,9,26.78466010093689
10,SPOON,SUM,0,0,0,0,0,37,0,31.022310972213745
10,,SUM,1,0,1,0,10,1634,9,57.806971073150635
10,,
11,,
