RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,109,28,52.486818075180054
0,CUP,SUM,0,0,0,0,2,19,8,22.171729803085327
0,SPOON,SUM,0,0,0,0,0,41,0,21.725011825561523
0,,SUM,0,0,0,0,2,169,36,96.3835597038269
0,,
1,,
1,BOWL,SUM,0,0,0,0,6,11,0,16.941517114639282
1,CUP,SUM,0,0,0,0,0,12,4,13.60329794883728
1,SPOON,SUM,0,0,0,0,0,15,2,18.692469120025635
1,,SUM,0,0,0,0,6,38,6,49.2372841835022
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,40,11,28.254573106765747
2,CUP,SUM,0,0,0,0,0,24,3,14.155251026153564
2,SPOON,SUM,0,0,0,0,0,215,0,35.04850912094116
2,,SUM,0,0,0,0,0,279,14,77.45833325386047
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,90,2,21.631932020187378
3,CUP,SUM,0,0,0,0,10,29,3,19.73883891105652
3,SPOON,SUM,0,0,0,0,0,77,5,24.607303142547607
3,,SUM,0,0,0,0,10,196,10,65.9780740737915
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,51,4,18.21917486190796
4,CUP,SUM,0,0,0,0,0,31,0,14.394853830337524
4,SPOON,SUM,0,0,0,0,0,133,0,29.793560028076172
4,,SUM,0,0,0,0,0,215,4,62.407588720321655
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,14,2,16.130915880203247
5,CUP,SUM,1,0,1,0,0,367,109,0.0
5,SPOON,SUM,0,0,0,0,0,412,10,56.09112811088562
5,,SUM,1,0,1,0,0,793,121,72.22204399108887
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,6,4,18.408365964889526
6,CUP,SUM,0,0,0,0,0,4,6,14.653532981872559
6,SPOON,SUM,0,0,0,0,0,51,6,24.308040142059326
6,,SUM,0,0,0,0,0,61,16,57.36993908882141
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,17,1,15.398491859436035
7,CUP,SUM,1,0,0,1,0,298,56,0.0
7,SPOON,SUM,0,0,0,0,0,242,12,47.578397035598755
7,,SUM,1,0,0,1,0,557,69,62.97688889503479
7,,
8,,
8,BOWL,SUM,1,0,1,0,22,591,42,0.0
8,CUP,SUM,0,0,0,0,0,17,7,14.505453109741211
8,SPOON,SUM,0,0,0,0,0,901,0,100.50949597358704
8,,SUM,1,0,1,0,22,1509,49,115.01494908332825
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,20,2,15.878023862838745
9,CUP,SUM,0,0,0,0,0,108,32,73.44102692604065
9,SPOON,SUM,0,0,0,0,0,93,1,27.167680025100708
9,,SUM,0,0,0,0,0,221,35,116.4867308139801
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,93,7,26.56380009651184
10,CUP,SUM,0,0,0,0,0,269,49,125.51342606544495
10,SPOON,SUM,0,0,0,0,0,37,1,23.693401098251343
10,,SUM,0,0,0,0,0,399,57,175.77062726020813
10,,
11,,
