RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,7,2,15.1845328808
0,CUP,SUM,0,0,0,0,0,16,7,10.4609401226
0,SPOON,SUM,0,0,0,0,0,16,2,14.6517879963
0,,SUM,0,0,0,0,0,39,11,40.2972609997
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,8,24,0,15.6547579765
1,CUP,SUM,0,0,0,0,0,27,3,11.3313641548
1,SPOON,SUM,0,0,0,0,0,38,0,15.3437728882
1,,SUM,0,0,0,0,8,89,3,42.3298950195
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,48,207,2,37.5680618286
2,CUP,SUM,0,0,0,0,0,20,7,9.1141469479
2,SPOON,SUM,0,0,0,0,2,11,0,13.9227240086
2,,SUM,0,0,0,0,50,238,9,60.604932785
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,2,30,0,11.2623660564
3,CUP,SUM,0,0,0,0,0,22,10,11.6094470024
3,SPOON,SUM,0,0,0,0,0,54,0,15.7964279652
3,,SUM,0,0,0,0,2,106,10,38.668241024
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,39,0,10.8246588707
4,CUP,SUM,0,0,0,0,0,9,3,8.5817699432
4,SPOON,SUM,0,0,0,0,0,47,0,15.0049440861
4,,SUM,0,0,0,0,0,95,3,34.4113729
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,0,1,0,0,1114,50,0
5,CUP,SUM,0,0,0,0,0,12,9,15.7677490711
5,SPOON,SUM,0,0,0,0,0,52,0,15.6883580685
5,,SUM,1,0,1,0,0,1178,59,31.4561071396
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,4,24,0,11.50096488
6,CUP,SUM,0,0,0,0,0,21,5,8.9336669445
6,SPOON,SUM,0,0,0,0,0,187,0,21.8702208996
6,,SUM,0,0,0,0,4,232,5,42.3048527241
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,6,9,1,13.3281030655
7,CUP,SUM,0,0,0,0,2,13,2,10.5130288601
7,SPOON,SUM,0,0,0,0,0,54,0,15.1695170403
7,,SUM,0,0,0,0,8,76,3,39.0106489658
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,16,14,0,16.9877369404
8,CUP,SUM,0,0,0,0,0,11,4,8.4904379845
8,SPOON,SUM,1,0,1,0,0,1581,0,0
8,,SUM,1,0,1,0,16,1606,4,25.4781749249
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,22,2,10.5650441647
9,CUP,SUM,0,0,0,0,4,31,7,12.8354051113
9,SPOON,SUM,0,0,0,0,0,26,0,13.610435009
9,,SUM,0,0,0,0,4,79,9,37.010884285
9,,,,,,,,,,
10,,,,,,,,,,
