RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,4,4,16.8509449959
0,CUP,SUM,1,0,0,1,0,376,64,0
0,SPOON,SUM,0,0,0,0,0,2,0,14.4624040127
0,,SUM,1,0,0,1,0,382,68,31.3133490086
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,44,6,15.72539711
1,CUP,SUM,0,0,0,0,6,50,3,15.7780170441
1,SPOON,SUM,0,0,0,0,0,134,0,22.4156689644
1,,SUM,0,0,0,0,6,228,9,53.9190831184
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,68,6,15.9052248001
2,CUP,SUM,1,0,0,1,10,286,76,0
2,SPOON,SUM,1,0,1,0,0,1582,0,0
2,,SUM,2,0,1,1,10,1936,82,15.9052248001
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,64,0,13.6579060555
3,CUP,SUM,0,0,0,0,2,147,36,61.0802681446
3,SPOON,SUM,0,0,0,0,0,191,0,26.4844560623
3,,SUM,0,0,0,0,2,402,36,101.2226302624
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,8,0,11.5378541946
4,CUP,SUM,1,0,1,0,6,180,112,0
4,SPOON,SUM,0,0,0,0,0,92,1,21.2722089291
4,,SUM,1,0,1,0,6,280,113,32.8100631237
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,20,1,13.070925951
5,CUP,SUM,0,0,0,0,6,19,2,12.0576558113
5,SPOON,SUM,0,0,0,0,0,18,5,18.6095821857
5,,SUM,0,0,0,0,6,57,8,43.7381639481
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,2,17,6,15.7336740494
6,CUP,SUM,0,0,0,0,2,118,24,35.4150259495
6,SPOON,SUM,0,0,0,0,0,11,6,20.9591391087
6,,SUM,0,0,0,0,4,146,36,72.1078391075
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,18,1,13.1833469868
7,CUP,SUM,0,0,0,0,0,124,32,32.5886030197
7,SPOON,SUM,0,0,0,0,0,81,0,19.0326709747
7,,SUM,0,0,0,0,0,223,33,64.8046209812
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,13,1,13.1886670589
8,CUP,SUM,0,0,0,0,0,328,45,83.0526170731
8,SPOON,SUM,0,0,0,0,112,127,2,74.2810690403
8,,SUM,0,0,0,0,112,468,48,170.5223531723
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,31,0,11.8736739159
9,CUP,SUM,0,0,0,0,2,297,41,68.50324893
9,SPOON,SUM,0,0,0,0,0,248,0,30.7643930912
9,,SUM,0,0,0,0,2,576,41,111.141315937
9,,,,,,,,,,
10,,,,,,,,,,
