RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,4,4,17.5716340542
0,CUP,SUM,0,0,0,0,0,55,9,19.4416348934
0,SPOON,SUM,0,0,0,0,2,6,4,16.9294860363
0,,SUM,0,0,0,0,2,65,17,53.9427549839
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,56,33,0,36.8005242348
1,CUP,SUM,0,0,0,0,0,82,19,32.4132249355
1,SPOON,SUM,0,0,0,0,0,3,5,19.2923369408
1,,SUM,0,0,0,0,56,118,24,88.5060861111
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,18,32,1,21.3079550266
2,CUP,SUM,0,0,0,0,2,47,3,16.1786630154
2,SPOON,SUM,0,0,0,0,0,43,5,24.0762009621
2,,SUM,0,0,0,0,20,122,9,61.5628190041
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,44,2,12.586493969
3,CUP,SUM,0,0,0,0,0,19,4,13.0866601467
3,SPOON,SUM,0,0,0,0,0,16,2,14.7841489315
3,,SUM,0,0,0,0,0,79,8,40.4573030472
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,96,0,15.8043551445
4,CUP,SUM,1,0,1,0,0,211,111,0
4,SPOON,SUM,0,0,0,0,0,101,0,20.9952759743
4,,SUM,1,0,1,0,0,408,111,36.7996311188
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,2,26,2,12.688945055
5,CUP,SUM,0,0,0,0,0,4,7,14.6775410175
5,SPOON,SUM,0,0,0,0,0,7,1,16.1825361252
5,,SUM,0,0,0,0,2,37,10,43.5490221977
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,16,4,14.0186100006
6,CUP,SUM,0,0,0,0,2,85,24,38.2838788033
6,SPOON,SUM,0,0,0,0,0,56,0,17.4946520329
6,,SUM,0,0,0,0,2,157,28,69.7971408367
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,34,312,12,50.5547099113
7,CUP,SUM,0,0,0,0,0,12,2,9.9926021099
7,SPOON,SUM,0,0,0,0,0,128,4,26.0042510033
7,,SUM,0,0,0,0,34,452,18,86.5515630245
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,17,0,11.6770071983
8,CUP,SUM,1,0,1,0,0,223,112,0
8,SPOON,SUM,0,0,0,0,0,48,2,16.8923089504
8,,SUM,1,0,1,0,0,288,114,28.5693161488
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,4,4,18.0801069736
9,CUP,SUM,0,0,0,0,0,55,9,21.4746448994
9,SPOON,SUM,0,0,0,0,2,6,4,17.9350988865
9,,SUM,0,0,0,0,2,65,17,57.4898507595
9,,,,,,,,,,
10,,,,,,,,,,
