RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,60,15,64.4178390503
0,CUP,SUM,0,0,0,0,0,36,14,34.4013369083
0,SPOON,SUM,0,0,0,0,0,69,3,37.6175448895
0,,SUM,0,0,0,0,0,165,32,136.4367208481
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,2,116,2,42.2036991119
1,CUP,SUM,0,0,0,0,2,44,9,60.0065009594
1,SPOON,SUM,0,0,0,0,0,89,0,29.3489229679
1,,SUM,0,0,0,0,4,249,11,131.5591230392
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,68,0,24.2453341484
2,CUP,SUM,0,0,0,0,2,39,6,30.3325030804
2,SPOON,SUM,0,0,0,0,0,204,27,79.4397370815
2,,SUM,0,0,0,0,2,311,33,134.0175743103
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,9,5,31.7882127762
3,CUP,SUM,0,0,0,0,0,74,14,31.2922811508
3,SPOON,SUM,0,0,0,0,6,19,0,22.5737519264
3,,SUM,0,0,0,0,6,102,19,85.6542458534
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,96,1,36.884483099
4,CUP,SUM,0,0,0,0,0,70,30,102.668817997
4,SPOON,SUM,1,0,1,0,2,1582,0,0
4,,SUM,1,0,1,0,2,1748,31,139.553301096
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,2,48,6,33.0644869804
5,CUP,SUM,0,0,0,0,0,136,41,187.942125082
5,SPOON,SUM,1,0,1,0,0,1545,8,0
5,,SUM,1,0,1,0,2,1729,55,221.0066120625
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,10,1,23.4852979183
6,CUP,SUM,0,0,0,0,0,146,2,38.8861558437
6,SPOON,SUM,0,0,0,0,0,94,7,42.1510310173
6,,SUM,0,0,0,0,0,250,10,104.5224847794
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,112,98,0,113.4256110191
7,CUP,SUM,1,0,1,0,0,969,75,0
7,SPOON,SUM,0,0,0,0,2,87,0,30.635447979
7,,SUM,1,0,1,0,114,1154,75,144.0610589981
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,2,809,0,130.6746602058
8,CUP,SUM,0,0,0,0,4,12,12,31.3567140102
8,SPOON,SUM,0,0,0,0,0,12,2,20.6154119968
8,,SUM,0,0,0,0,6,833,14,182.6467862129
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,1,0,1,0,0,1581,0,0
9,CUP,SUM,0,0,0,0,0,14,10,25.6787419319
9,SPOON,SUM,0,0,0,0,0,313,2,72.5799851418
9,,SUM,1,0,1,0,0,1908,12,98.2587270737
9,,,,,,,,,,
10,,,,,,,,,,
