RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
42,,,,,,,,,,
42,BOWL,SUM,0,0,0,0,18,229,0,68.9963440895
42,CUP,SUM,0,0,0,0,0,9,1,26.4340348244
42,SPOON,SUM,1,0,1,0,0,1582,0,0
42,,SUM,1,0,1,0,18,1820,1,95.4303789139
42,,,,,,,,,,
43,,,,,,,,,,
43,BOWL,SUM,0,0,0,0,56,116,0,79.9690589905
43,CUP,SUM,0,0,0,0,0,107,8,40.7685558796
43,SPOON,SUM,0,0,0,0,0,54,4,36.072701931
43,,SUM,0,0,0,0,56,277,12,156.8103168011
43,,,,,,,,,,
44,,,,,,,,,,
44,BOWL,SUM,0,0,0,0,2,923,2,163.1681480408
44,CUP,SUM,0,0,0,0,0,15,2,31.198348999
44,SPOON,SUM,1,0,1,0,0,1581,0,0
44,,SUM,1,0,1,0,2,2519,4,194.3664970398
44,,,,,,,,,,
45,,,,,,,,,,
45,BOWL,SUM,0,0,0,0,0,489,8,100.219274044
45,CUP,SUM,1,0,0,1,0,260,51,0
45,SPOON,SUM,0,0,0,0,0,1311,0,214.4038147926
45,,SUM,1,0,0,1,0,2060,59,314.6230888367
45,,,,,,,,,,
46,,,,,,,,,,
46,BOWL,SUM,0,0,0,0,0,791,6,141.3282909393
46,CUP,SUM,0,0,0,0,0,31,4,40.5027530193
46,SPOON,SUM,0,0,0,0,0,36,1,35.8564841747
46,,SUM,0,0,0,0,0,858,11,217.6875281334
46,,,,,,,,,,
47,,,,,,,,,,
47,BOWL,SUM,1,0,1,0,0,1505,12,0
47,CUP,SUM,0,0,0,0,0,16,10,48.2965600491
47,SPOON,SUM,0,0,0,0,0,141,0,45.5945219994
47,,SUM,1,0,1,0,0,1662,22,93.8910820484
47,,,,,,,,,,
48,,,,,,,,,,
48,BOWL,SUM,0,0,0,0,0,39,2,32.6298799515
48,CUP,SUM,0,0,0,0,0,17,2,22.9499671459
48,SPOON,SUM,0,0,0,0,2,309,3,72.4762880802
48,,SUM,0,0,0,0,2,365,7,128.0561351776
48,,,,,,,,,,
49,,,,,,,,,,
49,BOWL,SUM,0,0,0,0,2,61,2,37.0273389816
49,CUP,SUM,0,0,0,0,2,16,3,26.9119381905
49,SPOON,SUM,0,0,0,0,0,49,1,35.9744360447
49,,SUM,0,0,0,0,4,126,6,99.9137132168
49,,,,,,,,,,
50,,,,,,,,,,
50,BOWL,SUM,0,0,0,0,0,22,8,36.4264848232
50,CUP,SUM,0,0,0,0,0,32,4,31.1820831299
50,SPOON,SUM,0,0,0,0,0,19,1,31.0216591358
50,,SUM,0,0,0,0,0,73,13,98.6302270889
50,,,,,,,,,,
51,,,,,,,,,,
51,BOWL,SUM,0,0,0,0,0,40,0,27.926181078
51,CUP,SUM,0,0,0,0,0,29,4,23.0344479084
51,SPOON,SUM,0,0,0,0,0,133,0,41.0714511871
51,,SUM,0,0,0,0,0,202,4,92.0320801735
51,,,,,,,,,,
52,,,,,,,,,,
