RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,2,11,2,275.94864296913147
0,CUP,SUM,0,0,0,0,2,26,9,299.26485991477966
0,SPOON,SUM,0,0,0,0,0,417,52,823.3371441364288
0,,SUM,0,0,0,0,4,454,63,1398.55064702034
0,,
1,,
1,BOWL,SUM,0,0,0,0,2,10,2,330.8760600090027
1,CUP,SUM,0,0,0,0,0,18,10,290.7592189311981
1,SPOON,SUM,0,0,0,0,0,20,4,289.87154603004456
1,,SUM,0,0,0,0,2,48,16,911.5068249702454
1,,
2,,
2,BOWL,SUM,0,0,0,0,4,28,21,540.8004508018494
2,CUP,SUM,0,0,0,0,0,18,5,271.5093071460724
2,SPOON,SUM,0,0,0,0,0,244,4,360.4742591381073
2,,SUM,0,0,0,0,4,290,30,1172.784017086029
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,30,9,365.2307140827179
3,CUP,SUM,0,0,0,0,0,9,13,311.25146293640137
3,SPOON,SUM,0,0,0,0,0,100,5,318.372887134552
3,,SUM,0,0,0,0,0,139,27,994.8550641536713
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,26,7,358.6695840358734
4,CUP,SUM,0,0,0,0,0,10,8,254.58155298233032
4,SPOON,SUM,0,0,0,0,0,135,3,312.98862886428833
4,,SUM,0,0,0,0,0,171,18,926.2397658824921
4,,
