RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,1,1,0,0,0,267,0,0.0
0,CUP,SUM,1,1,0,0,0,267,0,0.0
0,,
0,BOWL,SUM,0,0,0,0,2,33,52,68.65632820129395
0,CUP,SUM,0,0,0,0,2,73,5,14.80884313583374
0,SPOON,SUM,0,0,0,0,0,10,4,16.17936110496521
0,,SUM,0,0,0,0,4,116,61,99.6445324420929
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,160,56,67.94712495803833
1,CUP,SUM,0,0,0,0,0,41,60,34.16293501853943
1,SPOON,SUM,1,0,1,0,0,38,61,0.0
1,,SUM,1,0,1,0,0,239,177,102.11005997657776
1,,
2,,
2,,
2,BOWL,SUM,0,0,0,0,0,38,19,28.944631814956665
2,CUP,SUM,1,0,1,0,0,148,108,0.0
2,SPOON,SUM,0,0,0,0,24,100,4,32.8114800453186
2,,SUM,1,0,1,0,24,286,131,61.75611186027527
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,116,54,69.47285199165344
3,CUP,SUM,0,0,0,0,0,58,86,38.784554958343506
3,SPOON,SUM,1,0,1,0,0,72,201,0.0
3,,SUM,1,0,1,0,0,246,341,108.25740694999695
3,,
4,,
4,BOWL,SUM,1,0,1,0,6,85,105,0.0
4,CUP,SUM,1,0,1,0,0,65,109,0.0
4,SPOON,SUM,0,0,0,0,0,116,19,25.614678144454956
4,,SUM,2,0,2,0,6,266,233,25.614678144454956
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,87,3,18.05670189857483
5,CUP,SUM,0,0,0,0,0,56,5,13.673243045806885
5,SPOON,SUM,0,0,0,0,0,99,0,18.72205901145935
5,,SUM,0,0,0,0,0,242,8,50.452003955841064
5,,
6,,
6,BOWL,SUM,1,0,1,0,0,322,0,0.0
6,CUP,SUM,1,0,1,0,0,99,105,0.0
6,SPOON,SUM,1,0,1,0,16,169,51,0.0
6,,SUM,3,0,3,0,16,590,156,0.0
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,108,20,29.841392040252686
7,CUP,SUM,0,0,0,0,0,44,8,14.605607032775879
7,SPOON,SUM,1,0,1,0,2,79,49,0.0
7,,SUM,1,0,1,0,2,231,77,44.446999073028564
7,,
8,,
8,BOWL,SUM,0,0,0,0,14,20,20,33.89996790885925
8,CUP,SUM,0,0,0,0,0,135,3,16.221549034118652
8,SPOON,SUM,0,0,0,0,0,4,0,15.23442006111145
8,,SUM,0,0,0,0,14,159,23,65.35593700408936
8,,
9,,
9,BOWL,SUM,0,0,0,0,2,28,52,67.25231003761292
9,CUP,SUM,0,0,0,0,6,115,8,18.56176996231079
9,SPOON,SUM,1,0,1,0,0,78,51,0.0
9,,SUM,1,0,1,0,8,221,111,85.8140799999237
9,,
10,,
10,BOWL,SUM,1,0,1,0,0,57,51,0.0
10,CUP,SUM,0,0,0,0,0,64,8,14.64552903175354
10,SPOON,SUM,1,0,1,0,0,299,0,0.0
10,,SUM,2,0,2,0,0,420,59,14.64552903175354
10,,
