RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,1,0,1,0,0,47,64,0.0
0,CUP,SUM,1,0,0,1,0,52,33,0.0
0,SPOON,SUM,0,0,0,0,0,10,0,13.415105104446411
0,,SUM,2,0,1,1,0,109,97,13.415105104446411
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,32,6,12.231854915618896
1,CUP,SUM,0,0,0,0,0,28,9,9.88990592956543
1,SPOON,SUM,0,0,0,0,0,5,16,17.717833995819092
1,,SUM,0,0,0,0,0,65,31,39.83959484100342
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,103,0,12.617761135101318
2,CUP,SUM,1,0,0,1,0,61,34,0.0
2,SPOON,SUM,0,0,0,0,0,3,0,12.96301007270813
2,,SUM,1,0,0,1,0,167,34,25.58077120780945
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,37,12,13.487030982971191
3,CUP,SUM,0,0,0,0,0,56,38,19.600300073623657
3,SPOON,SUM,0,0,0,0,0,3,0,13.077866077423096
3,,SUM,0,0,0,0,0,96,50,46.165197134017944
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,24,29,19.082053899765015
4,CUP,SUM,1,0,0,1,0,89,35,0.0
4,SPOON,SUM,0,0,0,0,0,75,0,15.275757789611816
4,,SUM,1,0,0,1,0,188,64,34.35781168937683
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,33,2,10.713166952133179
5,CUP,SUM,0,0,0,0,0,48,23,16.69442081451416
5,SPOON,SUM,1,0,1,0,0,68,60,0.0
5,,SUM,1,0,1,0,0,149,85,27.40758776664734
5,,
6,,
6,BOWL,SUM,0,0,0,0,24,39,0,21.065376043319702
6,CUP,SUM,1,0,1,0,0,66,71,0.0
6,SPOON,SUM,0,0,0,0,0,3,2,13.577570915222168
6,,SUM,1,0,1,0,24,108,73,34.64294695854187
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,52,17,16.989073991775513
7,CUP,SUM,1,0,0,1,2,41,31,0.0
7,SPOON,SUM,1,0,1,0,0,163,62,0.0
7,,SUM,2,0,1,1,2,256,110,16.989073991775513
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,24,0,10.680617094039917
8,CUP,SUM,0,0,0,0,0,40,7,9.520232915878296
8,SPOON,SUM,0,0,0,0,0,17,0,13.574923992156982
8,,SUM,0,0,0,0,0,81,7,33.775774002075195
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,20,29,19.029237985610962
9,CUP,SUM,1,0,0,1,2,53,31,0.0
9,SPOON,SUM,0,0,0,0,0,3,0,12.987671852111816
9,,SUM,1,0,0,1,2,76,60,32.01690983772278
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,24,12,13.379505157470703
10,CUP,SUM,1,0,0,1,0,41,36,0.0
10,SPOON,SUM,1,0,1,0,2,32,64,0.0
10,,SUM,2,0,1,1,2,97,112,13.379505157470703
10,,
11,,
11,BOWL,SUM,1,1,0,0,96,0,0,0.0
