RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,8,4,17.200284957885742
0,CUP,SUM,0,0,0,0,0,207,20,42.54873013496399
0,SPOON,SUM,0,0,0,0,0,50,1,19.162801027297974
0,,SUM,0,0,0,0,0,265,25,78.9118161201477
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,107,6,20.197870016098022
1,CUP,SUM,0,0,0,0,0,18,7,10.437453031539917
1,SPOON,SUM,1,1,0,0,0,620,0,0.0
1,,SUM,1,1,0,0,0,745,13,30.63532304763794
1,,
2,,
2,BOWL,SUM,0,0,0,0,2,97,4,19.211858987808228
2,CUP,SUM,0,0,0,0,0,23,5,10.684812068939209
2,SPOON,SUM,1,1,0,0,24,554,0,0.0
2,,SUM,1,1,0,0,26,674,9,29.896671056747437
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,235,90,94.73288083076477
3,CUP,SUM,1,1,0,0,80,429,0,0.0
3,SPOON,SUM,0,0,0,0,136,72,0,87.29934811592102
3,,SUM,1,1,0,0,216,736,90,182.0322289466858
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,28,6,15.817743062973022
4,CUP,SUM,1,1,0,0,160,149,0,0.0
4,SPOON,SUM,0,0,0,0,2,6,4,18.230293035507202
4,,SUM,1,1,0,0,162,183,10,34.048036098480225
4,,
5,,
5,BOWL,SUM,1,1,0,0,64,487,0,0.0
5,CUP,SUM,0,0,0,0,0,119,29,33.03497099876404
5,SPOON,SUM,1,1,0,0,120,295,0,0.0
5,,SUM,2,2,0,0,184,901,29,33.03497099876404
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,25,0,12.416908025741577
6,CUP,SUM,0,0,0,0,0,37,2,11.20163607597351
6,SPOON,SUM,0,0,0,0,0,14,0,15.574150085449219
6,,SUM,0,0,0,0,0,76,2,39.19269418716431
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,34,0,12.174044847488403
7,CUP,SUM,0,0,0,0,2,49,1,13.173095941543579
7,SPOON,SUM,0,0,0,0,0,209,1,29.717777967453003
7,,SUM,0,0,0,0,2,292,2,55.064918756484985
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,9,0,12.07231616973877
8,CUP,SUM,0,0,0,0,6,55,4,15.012346982955933
8,SPOON,SUM,0,0,0,0,2,56,0,18.35471487045288
8,,SUM,0,0,0,0,8,120,4,45.43937802314758
8,,
9,,
9,BOWL,SUM,1,0,1,0,2,1460,20,0.0
9,CUP,SUM,1,1,0,0,64,454,0,0.0
9,SPOON,SUM,1,1,0,0,128,314,0,0.0
9,,SUM,3,2,1,0,194,2228,20,0.0
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,28,0,12.819870948791504
10,CUP,SUM,0,0,0,0,0,292,33,67.13260197639465
10,SPOON,SUM,1,1,0,0,56,493,0,0.0
10,,SUM,1,1,0,0,56,813,33,79.95247292518616
10,,
11,,
11,BOWL,SUM,0,0,0,0,0,255,8,33.22091484069824
11,CUP,SUM,0,0,0,0,0,30,7,11.587892055511475
11,SPOON,SUM,0,0,0,0,10,6,2,20.17400097846985
11,,SUM,0,0,0,0,10,291,17,64.98280787467957
11,,
12,,
12,BOWL,SUM,0,0,0,0,0,42,4,14.967298984527588
12,CUP,SUM,0,0,0,0,0,315,36,61.90097093582153
12,SPOON,SUM,1,0,1,0,10,1704,0,0.0
12,,SUM,1,0,1,0,10,2061,40,76.86826992034912
12,,
13,,
13,BOWL,SUM,0,0,0,0,0,11,4,13.90885305404663
13,CUP,SUM,1,0,0,1,0,489,72,0.0
13,SPOON,SUM,1,1,0,0,16,578,0,0.0
13,,SUM,2,1,0,1,16,1078,76,13.90885305404663
13,,
14,,
14,BOWL,SUM,1,1,0,0,136,294,0,0.0
14,CUP,SUM,1,1,0,0,24,567,0,0.0
14,SPOON,SUM,0,0,0,0,0,3,4,17.618321895599365
14,,SUM,2,2,0,0,160,864,4,17.618321895599365
14,,
15,,
15,BOWL,SUM,0,0,0,0,0,16,2,12.619144916534424
15,CUP,SUM,0,0,0,0,0,93,20,23.73395085334778
15,SPOON,SUM,1,1,0,0,152,202,0,0.0
15,,SUM,1,1,0,0,152,311,22,36.3530957698822
15,,
16,,
16,BOWL,SUM,0,0,0,0,0,14,0,12.11426591873169
16,CUP,SUM,0,0,0,0,0,35,8,11.156265020370483
16,SPOON,SUM,0,0,0,0,0,257,20,43.48077702522278
16,,SUM,0,0,0,0,0,306,28,66.75130796432495
16,,
17,,
17,BOWL,SUM,1,1,0,0,0,620,0,0.0
17,CUP,SUM,0,0,0,0,0,16,2,10.812713146209717
17,SPOON,SUM,0,0,0,0,0,269,0,32.78035306930542
17,,SUM,1,1,0,0,0,905,2,43.59306621551514
17,,
18,,
18,BOWL,SUM,1,1,0,0,24,576,0,0.0
18,CUP,SUM,0,0,0,0,8,37,3,15.894418954849243
18,SPOON,SUM,1,0,1,0,0,929,76,0.0
18,,SUM,2,1,1,0,32,1542,79,15.894418954849243
18,,
19,,
19,BOWL,SUM,1,1,0,0,56,486,0,0.0
19,CUP,SUM,0,0,0,0,0,19,0,10.98586106300354
19,SPOON,SUM,0,0,0,0,0,2,2,15.485052824020386
19,,SUM,1,1,0,0,56,507,2,26.470913887023926
19,,
