RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC,
,,,,,,,,,,,
,,,,,,,,,,,
0,,,,,,,,,,,
0,BOWL,SUM,1,0,1,0,0,27,44,0,
0,CUP,SUM,1,0,1,0,8,12,73,0,
0,SPOON,SUM,0,0,0,0,0,4,17,13.5400369167,
0,,SUM,2,0,2,0,8,43,134,13.5400369167,
0,,,,,,,,,,,
1,,,,,,,,,,,
1,BOWL,SUM,1,0,0,1,0,12,19,0,
1,CUP,SUM,1,0,1,0,0,56,70,0,
1,SPOON,SUM,0,0,0,0,0,3,8,10.8458399773,
1,,SUM,2,0,1,1,0,71,97,10.8458399773,
1,,,,,,,,,,,
2,,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,0,81,40,0,
2,CUP,SUM,1,0,1,0,0,15,11,0,
2,SPOON,SUM,0,0,0,0,0,2,1,10.7030098438,
2,,SUM,2,0,2,0,0,98,52,10.7030098438,
2,,,,,,,,,,,
3,,,,,,,,,,,
3,BOWL,SUM,1,0,0,1,16,10,11,0,
3,CUP,SUM,0,0,0,0,0,2,8,6.3630301952,
3,SPOON,SUM,0,0,0,0,0,11,1,9.8828501701,
3,,SUM,1,0,0,1,16,23,20,16.2458803654,
3,,,,,,,,,,,
4,,,,,,,,,,,
4,BOWL,SUM,1,0,1,0,0,39,44,0,
4,CUP,SUM,1,0,1,0,8,29,11,0,
4,SPOON,SUM,0,0,0,0,0,1,5,10.8044281006,
4,,SUM,2,0,2,0,8,69,60,10.8044281006,
4,,,,,,,,,,,
5,,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,1,4,7.7007250786,
5,CUP,SUM,0,0,0,0,0,2,7,6.077999115,
5,SPOON,SUM,1,0,1,0,0,343,0,0,
5,,SUM,1,0,1,0,0,346,11,13.7787241936,
5,,,,,,,,,,,
6,,,,,,,,,,,
6,BOWL,SUM,1,0,1,0,0,14,44,0,
6,CUP,SUM,0,0,0,0,0,3,4,4.4828810692,
6,SPOON,SUM,1,0,1,0,0,13,44,0,
6,,SUM,2,0,2,0,0,30,92,4.4828810692,
6,,,,,,,,,,,
7,,,,,,,,,,,
7,BOWL,SUM,1,0,1,0,0,8,44,0,
7,CUP,SUM,0,0,0,0,0,0,9,4.8672280312,
7,SPOON,SUM,1,0,1,0,0,21,44,0,
7,,SUM,2,0,2,0,0,29,97,4.8672280312,
7,,,,,,,,,,,
8,,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,4,12,9.7791581154,
8,CUP,SUM,0,0,0,0,0,8,22,8.3392710686,
8,SPOON,SUM,0,0,0,0,0,2,1,10.1766781807,
8,,SUM,0,0,0,0,0,14,35,28.2951073647,
8,,,,,,,,,,,
9,,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,9,20,10.2779750824,
9,CUP,SUM,0,0,0,0,0,4,9,5.6362390518,
9,SPOON,SUM,0,0,0,0,0,6,2,11.054901123,
9,,SUM,0,0,0,0,0,19,31,26.9691152573,
9,,,,,,,,,,,
10,,,,,,,,,,,
