RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,1,0,1,0,0,2,58,0.0
0,CUP,SUM,0,0,0,0,0,2,15,305.6091411113739
0,SPOON,SUM,0,0,0,0,0,6,4,258.29537200927734
0,,SUM,1,0,1,0,0,10,77,563.9045131206512
0,,
1,,
1,BOWL,SUM,1,0,1,0,0,6,50,0.0
1,CUP,SUM,0,0,0,0,0,4,6,222.936420917511
1,SPOON,SUM,1,0,1,0,16,7,50,0.0
1,,SUM,2,0,2,0,16,17,106,222.936420917511
1,,
2,,
2,BOWL,SUM,1,0,1,0,12,2,42,0.0
2,CUP,SUM,0,0,0,0,0,3,7,239.9484419822693
2,SPOON,SUM,0,0,0,0,0,5,9,310.33405900001526
2,,SUM,1,0,1,0,12,10,58,550.2825009822845
2,,
3,,
3,BOWL,SUM,1,0,1,0,8,2,28,0.0
3,CUP,SUM,1,0,0,1,16,9,25,0.0
3,SPOON,SUM,0,0,0,0,0,4,8,280.21044301986694
3,,SUM,2,0,1,1,24,15,61,280.21044301986694
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,2,6,275.40415501594543
4,CUP,SUM,0,0,0,0,8,7,16,431.9404010772705
4,SPOON,SUM,0,0,0,0,12,7,27,621.2050490379333
4,,SUM,0,0,0,0,20,16,49,1328.5496051311493
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,8,26,500.3748300075531
5,CUP,SUM,1,0,0,1,0,9,46,0.0
5,SPOON,SUM,0,0,0,0,0,9,24,466.552197933197
5,,SUM,1,0,0,1,0,26,96,966.9270279407501
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,2,10,307.84107089042664
6,CUP,SUM,0,0,0,0,8,2,8,407.00923204421997
6,SPOON,SUM,0,0,0,0,8,5,12,434.7830140590668
6,,SUM,0,0,0,0,16,9,30,1149.6333169937134
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,3,32,550.1138641834259
7,CUP,SUM,0,0,0,0,0,6,5,262.24054193496704
7,SPOON,SUM,0,0,0,0,0,6,32,524.2022149562836
7,,SUM,0,0,0,0,0,15,69,1336.5566210746765
7,,
8,,
8,BOWL,SUM,0,0,0,0,8,3,10,393.38162183761597
8,CUP,SUM,0,0,0,0,0,6,13,326.8962790966034
8,SPOON,SUM,0,0,0,0,0,8,6,300.76371002197266
8,,SUM,0,0,0,0,8,17,29,1021.041610956192
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,3,8,311.02044105529785
9,CUP,SUM,0,0,0,0,8,9,24,502.80390095710754
9,SPOON,SUM,0,0,0,0,6,2,10,359.3475329875946
9,,SUM,0,0,0,0,14,14,42,1173.171875
9,,
