RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,11,101,30.947895050048828
0,CUP,SUM,0,0,0,0,0,2,12,6.757516145706177
0,SPOON,SUM,0,0,0,0,0,1,6,11.062914848327637
0,,SUM,0,0,0,0,0,14,119,48.76832604408264
0,,
1,,
1,BOWL,SUM,1,0,1,0,0,54,204,0.0
1,CUP,SUM,0,0,0,0,0,0,25,10.552206039428711
1,SPOON,SUM,0,0,0,0,0,3,1,10.046876907348633
1,,SUM,1,0,1,0,0,57,230,20.599082946777344
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,1,39,15.53513503074646
2,CUP,SUM,0,0,0,0,0,3,18,9.428974866867065
2,SPOON,SUM,0,0,0,0,16,10,40,23.712773084640503
2,,SUM,0,0,0,0,16,14,97,48.67688298225403
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,1,15,13.767441987991333
3,CUP,SUM,0,0,0,0,0,0,4,5.255272150039673
3,SPOON,SUM,0,0,0,0,8,3,3,13.062561988830566
3,,SUM,0,0,0,0,8,4,22,32.08527612686157
3,,
4,,
4,BOWL,SUM,0,0,0,0,2,8,44,15.6176438331604
4,CUP,SUM,0,0,0,0,0,1,13,6.98077392578125
4,SPOON,SUM,0,0,0,0,0,1,4,10.228117942810059
4,,SUM,0,0,0,0,2,10,61,32.82653570175171
4,,
5,,
5,BOWL,SUM,1,0,1,0,16,36,204,0.0
5,CUP,SUM,0,0,0,0,8,4,7,9.982322931289673
5,SPOON,SUM,0,0,0,0,0,2,12,12.382373094558716
5,,SUM,1,0,1,0,24,42,223,22.36469602584839
5,,
6,,
6,BOWL,SUM,0,0,0,0,8,3,7,11.168004035949707
6,CUP,SUM,0,0,0,0,0,0,6,4.450785875320435
6,SPOON,SUM,0,0,0,0,0,1,16,12.690342903137207
6,,SUM,0,0,0,0,8,4,29,28.30913281440735
6,,
7,,
7,BOWL,SUM,0,0,0,0,8,0,6,11.877129793167114
7,CUP,SUM,0,0,0,0,0,1,14,7.1929240226745605
7,SPOON,SUM,0,0,0,0,10,0,8,14.81130599975586
7,,SUM,0,0,0,0,18,1,28,33.881359815597534
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,0,4,8.286001920700073
8,CUP,SUM,0,0,0,0,8,0,8,7.998787879943848
8,SPOON,SUM,0,0,0,0,2,1,0,10.407246112823486
8,,SUM,0,0,0,0,10,1,12,26.692035913467407
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,0,4,8.119594097137451
9,CUP,SUM,0,0,0,0,0,0,11,7.226028919219971
9,SPOON,SUM,0,0,0,0,8,1,6,15.145843029022217
9,,SUM,0,0,0,0,8,1,21,30.49146604537964
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,0,3,7.55772590637207
10,CUP,SUM,0,0,0,0,8,1,6,7.361175060272217
10,SPOON,SUM,0,0,0,0,0,1,0,9.437873125076294
10,,SUM,0,0,0,0,8,2,9,24.35677409172058
10,,
11,,
