RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,4,3,12.0770499706
0,CUP,SUM,0,0,0,0,0,12,35,21.5131111145
0,SPOON,SUM,0,0,0,0,0,2,0,10.6741280556
0,,SUM,0,0,0,0,0,18,38,44.2642891407
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,8,1,13,16.4592130184
1,CUP,SUM,0,0,0,0,0,6,79,32.2855000496
1,SPOON,SUM,0,0,0,0,8,7,25,25.8515970707
1,,SUM,0,0,0,0,16,14,117,74.5963101387
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,24,3,7,25.2449879646
2,CUP,SUM,0,0,0,0,0,5,16,16.647578001
2,SPOON,SUM,0,0,0,0,8,10,14,22.2254371643
2,,SUM,0,0,0,0,32,18,37,64.11800313
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,12,18,16.5866129398
3,CUP,SUM,1,0,0,1,0,45,61,0
3,SPOON,SUM,0,0,0,0,8,3,4,19.6455690861
3,,SUM,1,0,0,1,8,60,83,36.2321820259
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,8,65,40.1422801018
4,CUP,SUM,0,0,0,0,14,4,29,25.7754869461
4,SPOON,SUM,0,0,0,0,8,2,1,14.8742778301
4,,SUM,0,0,0,0,22,14,95,80.792044878
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,4,9,18.9554190636
5,CUP,SUM,0,0,0,0,0,4,2,7.2857279778
5,SPOON,SUM,0,0,0,0,0,5,4,13.9568781853
5,,SUM,0,0,0,0,0,13,15,40.1980252266
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,1,2,9.4788701534
6,CUP,SUM,0,0,0,0,0,20,36,38.3783960342
6,SPOON,SUM,0,0,0,0,0,1,17,21.0064430237
6,,SUM,0,0,0,0,0,22,55,68.8637092113
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,2,3,9,18.1349329948
7,CUP,SUM,0,0,0,0,0,3,39,18.9520041943
7,SPOON,SUM,0,0,0,0,0,3,4,13.5247941017
7,,SUM,0,0,0,0,2,9,52,50.6117312908
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,5,1,9.4055759907
8,CUP,SUM,0,0,0,0,0,26,44,61.6272270679
8,SPOON,SUM,0,0,0,0,0,1,6,12.524600029
8,,SUM,0,0,0,0,0,32,51,83.5574030876
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,26,4,5,25.8357551098
9,CUP,SUM,0,0,0,0,0,11,14,15.7592709064
9,SPOON,SUM,0,0,0,0,0,4,10,17.956594944
9,,SUM,0,0,0,0,26,19,29,59.5516209602
9,,,,,,,,,,
10,,,,,,,,,,
