RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,38,7,4,34.344462871551514
0,CUP,SUM,0,0,0,0,0,21,35,44.70782518386841
0,SPOON,SUM,0,0,0,0,0,7,7,16.770144939422607
0,,SUM,0,0,0,0,38,35,46,95.82243299484253
0,,
1,,
1,BOWL,SUM,1,0,1,0,8,743,176,0.0
1,CUP,SUM,0,0,0,0,8,2,22,26.220234870910645
1,SPOON,SUM,0,0,0,0,0,1,5,14.759235858917236
1,,SUM,1,0,1,0,16,746,203,40.97947072982788
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,1,0,9.126543998718262
2,CUP,SUM,0,0,0,0,32,115,89,60.77761387825012
2,SPOON,SUM,0,0,0,0,0,6,9,21.386530876159668
2,,SUM,0,0,0,0,32,122,98,91.29068875312805
2,,
3,,
3,BOWL,SUM,0,0,0,0,24,0,2,20.68395209312439
3,CUP,SUM,0,0,0,0,0,5,22,15.09244680404663
3,SPOON,SUM,1,0,1,0,8,1583,0,0.0
3,,SUM,1,0,1,0,32,1588,24,35.77639889717102
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,0,7,15.25937294960022
4,CUP,SUM,1,0,1,0,6,1138,420,0.0
4,SPOON,SUM,0,0,0,0,0,1,0,10.695035934448242
4,,SUM,1,0,1,0,6,1139,427,25.954408884048462
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,7,68,35.921189069747925
5,CUP,SUM,0,0,0,0,0,8,22,15.513466119766235
5,SPOON,SUM,0,0,0,0,0,0,3,13.895228862762451
5,,SUM,0,0,0,0,0,15,93,65.32988405227661
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,3,12,13.963188886642456
6,CUP,SUM,0,0,0,0,0,3,11,12.819225072860718
6,SPOON,SUM,0,0,0,0,8,6,2,15.303355932235718
6,,SUM,0,0,0,0,8,12,25,42.08576989173889
6,,
7,,
7,BOWL,SUM,1,0,1,0,16,479,196,0.0
7,CUP,SUM,0,0,0,0,0,4,21,17.67791485786438
7,SPOON,SUM,0,0,0,0,0,2,3,16.514517068862915
7,,SUM,1,0,1,0,16,485,220,34.192431926727295
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,1,14,23.27755093574524
8,CUP,SUM,0,0,0,0,0,6,24,25.88141703605652
8,SPOON,SUM,1,0,1,0,30,726,176,0.0
8,,SUM,1,0,1,0,30,733,214,49.15896797180176
8,,
9,,
9,BOWL,SUM,0,0,0,0,2,0,1,10.46094298362732
9,CUP,SUM,0,0,0,0,0,6,27,18.41954517364502
9,SPOON,SUM,0,0,0,0,0,2,8,15.358075857162476
9,,SUM,0,0,0,0,2,8,36,44.238564014434814
9,,
10,,
10,BOWL,SUM,0,0,0,0,8,3,7,20.237590074539185
10,CUP,SUM,0,0,0,0,16,12,72,38.959457874298096
10,SPOON,SUM,0,0,0,0,0,2,0,10.921795129776001
10,,SUM,0,0,0,0,24,17,79,70.11884307861328
10,,
11,,
