RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,8,0,0,9.5823979378
6,CUP,SUM,1,0,0,1,0,6,58,0
6,SPOON,SUM,0,0,0,0,8,0,1,13.2539708614
6,,SUM,1,0,0,1,16,6,59,22.8363687992
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,1,8,10.0951631069
7,CUP,SUM,1,0,0,1,0,13,84,0
7,SPOON,SUM,0,0,0,0,0,3,15,14.3470110893
7,,SUM,1,0,0,1,0,17,107,24.4421741962
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,0,2,7.4805438519
8,CUP,SUM,0,0,0,0,8,1,6,7.8354759216
8,SPOON,SUM,0,0,0,0,0,1,2,10.8571770191
8,,SUM,0,0,0,0,8,2,10,26.1731967926
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,1,16,9.8446819782
9,CUP,SUM,0,0,0,0,0,0,18,7.3141942024
9,SPOON,SUM,1,0,1,0,0,59,204,0
9,,SUM,1,0,1,0,0,60,238,17.1588761806
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,0,0,0,0,0,5,18,10.6240510941
10,CUP,SUM,1,0,0,1,0,7,55,0
10,SPOON,SUM,0,0,0,0,0,1,3,11.390296936
10,,SUM,1,0,0,1,0,13,76,22.0143480301
10,,,,,,,,,,
11,,,,,,,,,,
11,BOWL,SUM,0,0,0,0,8,2,20,14.3920190334
11,CUP,SUM,0,0,0,0,8,0,5,9.5418350697
11,SPOON,SUM,0,0,0,0,8,5,21,17.7570359707
11,,SUM,0,0,0,0,24,7,46,41.6908900738
11,,,,,,,,,,
12,,,,,,,,,,
12,BOWL,SUM,0,0,0,0,0,1,11,10.1859638691
12,CUP,SUM,0,0,0,0,0,0,7,4.7669119835
12,SPOON,SUM,0,0,0,0,0,9,4,11.1963868141
12,,SUM,0,0,0,0,0,10,22,26.1492626667
12,,,,,,,,,,
13,,,,,,,,,,
13,BOWL,SUM,0,0,0,0,6,2,12,10.806483984
13,CUP,SUM,0,0,0,0,0,3,47,23.3329639435
13,SPOON,SUM,0,0,0,0,0,0,0,10.1093211174
13,,SUM,0,0,0,0,6,5,59,44.2487690449
13,,,,,,,,,,
14,,,,,,,,,,
14,BOWL,SUM,0,0,0,0,8,4,48,20.6121971607
14,CUP,SUM,0,0,0,0,0,1,5,4.6157560349
14,SPOON,SUM,0,0,0,0,0,1,13,12.9293370247
14,,SUM,0,0,0,0,8,6,66,38.1572902203
14,,,,,,,,,,
15,,,,,,,,,,
15,BOWL,SUM,0,0,0,0,0,1,8,8.207529068
15,CUP,SUM,0,0,0,0,0,0,4,4.3784511089
15,SPOON,SUM,0,0,0,0,0,5,21,15.1365959644
15,,SUM,0,0,0,0,0,6,33,27.7225761414
15,,,,,,,,,,
16,,,,,,,,,,
