RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,6,270,23,39.7187120914
0,CUP,SUM,0,0,0,0,0,44,18,25.3507940769
0,SPOON,SUM,0,0,0,0,0,87,0,17.0062270164
0,,SUM,0,0,0,0,6,401,41,82.0757331848
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,25,3,11.8642001152
1,CUP,SUM,0,0,0,0,0,19,0,8.7102711201
1,SPOON,SUM,0,0,0,0,0,0,4,15.6640019417
1,,SUM,0,0,0,0,0,44,7,36.238473177
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,6,0,10.1101679802
2,CUP,SUM,0,0,0,0,0,9,8,8.8709850311
2,SPOON,SUM,0,0,0,0,0,12,0,13.1580340862
2,,SUM,0,0,0,0,0,27,8,32.1391870975
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,9,2,10.0962979794
3,CUP,SUM,0,0,0,0,0,14,5,9.8040990829
3,SPOON,SUM,0,0,0,0,42,2,0,30.3018069267
3,,SUM,0,0,0,0,42,25,7,50.202203989
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,21,8,14.2675487995
4,CUP,SUM,0,0,0,0,6,90,28,41.0848448277
4,SPOON,SUM,0,0,0,0,0,42,0,14.1250760555
4,,SUM,0,0,0,0,6,153,36,69.4774696827
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,11,4,11.5904409885
5,CUP,SUM,1,0,0,1,0,146,53,0
5,SPOON,SUM,0,0,0,0,0,1,0,12.9767570496
5,,SUM,1,0,0,1,0,158,57,24.5671980381
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,150,0,17.2870790958
6,CUP,SUM,0,0,0,0,0,34,7,15.3222391605
6,SPOON,SUM,1,0,1,0,0,1456,20,0
6,,SUM,1,0,1,0,0,1640,27,32.6093182564
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,21,2,10.6668150425
7,CUP,SUM,0,0,0,0,8,24,6,12.4839279652
7,SPOON,SUM,0,0,0,0,0,4,3,14.5292541981
7,,SUM,0,0,0,0,8,49,11,37.6799972057
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,114,49,2,58.3046619892
8,CUP,SUM,1,0,0,1,0,161,56,0
8,SPOON,SUM,0,0,0,0,2,10,0,13.6633889675
8,,SUM,1,0,0,1,116,220,58,71.9680509567
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,41,6,13.783523798
9,CUP,SUM,1,0,0,1,0,173,53,0
9,SPOON,SUM,0,0,0,0,0,111,0,18.677200079
9,,SUM,1,0,0,1,0,325,59,32.460723877
9,,,,,,,,,,
10,,,,,,,,,,
