RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,7,2,13.9451739788
0,CUP,SUM,0,0,0,0,0,16,7,9.3566141129
0,SPOON,SUM,0,0,0,0,0,15,2,14.1914579868
0,,SUM,0,0,0,0,0,38,11,37.4932460785
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,18,0,10.1102399826
1,CUP,SUM,0,0,0,0,0,14,8,8.8081021309
1,SPOON,SUM,0,0,0,0,2,227,0,25.523884058
1,,SUM,0,0,0,0,2,259,8,44.4422261715
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,100,10,19.1704981327
2,CUP,SUM,0,0,0,0,0,9,2,8.4745750427
2,SPOON,SUM,0,0,0,0,0,169,2,22.0678930283
2,,SUM,0,0,0,0,0,278,14,49.7129662037
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,30,0,11.2277810574
3,CUP,SUM,0,0,0,0,0,19,3,9.2081410885
3,SPOON,SUM,0,0,0,0,0,8,0,13.306032896
3,,SUM,0,0,0,0,0,57,3,33.7419550419
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,19,1,11.7038531303
4,CUP,SUM,0,0,0,0,0,2,8,8.5587980747
4,SPOON,SUM,0,0,0,0,0,37,0,14.9424569607
4,,SUM,0,0,0,0,0,58,9,35.2051081657
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,23,10,17.6899728775
5,CUP,SUM,0,0,0,0,2,7,3,8.9743900299
5,SPOON,SUM,1,0,1,0,0,1581,0,0
5,,SUM,1,0,1,0,2,1611,13,26.6643629074
5,,,,,,,,,,
6,,
6,BOWL,SUM,0,0,0,0,0,7,2,14.569053173065186
6,CUP,SUM,0,0,0,0,0,16,7,10.590179920196533
6,SPOON,SUM,0,0,0,0,0,15,2,14.804325103759766
6,,SUM,0,0,0,0,0,38,11,39.963558197021484
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,18,0,11.200407981872559
7,CUP,SUM,0,0,0,0,0,14,8,8.936420202255249
7,SPOON,SUM,0,0,0,0,2,227,0,25.1076500415802
7,,SUM,0,0,0,0,2,259,8,45.24447822570801
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,100,10,18.979886054992676
8,CUP,SUM,0,0,0,0,0,9,2,8.557487964630127
8,SPOON,SUM,0,0,0,0,0,169,2,21.442219018936157
8,,SUM,0,0,0,0,0,278,14,48.97959303855896
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,30,0,10.812140941619873
9,CUP,SUM,0,0,0,0,0,19,3,9.081263780593872
9,SPOON,SUM,0,0,0,0,0,8,0,12.920178174972534
9,,SUM,0,0,0,0,0,57,3,32.81358289718628
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,19,1,11.476960182189941
