RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,1,0,1,0,8,1830,0,0
0,CUP,SUM,1,0,0,1,0,1587,0,0
0,SPOON,SUM,1,0,1,0,0,1791,0,0
0,,SUM,3,0,2,1,8,5208,0,0
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,289,2,42.744343996
1,CUP,SUM,1,1,0,0,0,1519,0,0
1,SPOON,SUM,1,0,1,0,0,2856,0,0
1,,SUM,2,1,1,0,0,4664,2,42.744343996
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,0,1611,0,0
2,CUP,SUM,1,0,1,0,2,1587,0,0
2,SPOON,SUM,1,0,1,0,0,1581,0,0
2,,SUM,3,0,3,0,2,4779,0,0
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,1,0,1,0,0,1595,0,0
3,CUP,SUM,1,0,0,1,2,1617,8,0
3,SPOON,SUM,1,0,1,0,6,1661,0,0
3,,SUM,3,0,2,1,8,4873,8,0
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,1,0,1,0,0,1508,22,0
4,CUP,SUM,1,0,1,0,0,1196,38,0
4,SPOON,SUM,1,1,0,0,0,1519,0,0
4,,SUM,3,1,2,0,0,4223,60,0
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,1,0,0,0,1519,0,0
5,CUP,SUM,1,0,1,0,24,1590,0,0
5,SPOON,SUM,0,0,0,0,0,43,9,28.0870261192
5,,SUM,2,1,1,0,24,3152,9,28.0870261192
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,1,0,1,0,0,1685,0,0
6,CUP,SUM,1,0,0,1,0,1586,0,0
6,SPOON,SUM,1,1,0,0,0,1519,0,0
6,,SUM,3,1,1,1,0,4790,0,0
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,1,1,0,0,0,1519,0,0
7,CUP,SUM,1,0,0,1,0,1638,2,0
7,SPOON,SUM,0,0,0,0,0,155,3,37.8270099163
7,,SUM,2,1,0,1,0,3312,5,37.8270099163
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,0,1,0,6,1950,0,0
8,CUP,SUM,1,0,1,0,0,1573,13,0
8,SPOON,SUM,1,0,1,0,0,1596,0,0
8,,SUM,3,0,3,0,6,5119,13,0
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,1,0,1,0,0,1655,0,0
9,CUP,SUM,1,0,1,0,0,1359,30,0
9,SPOON,SUM,1,0,1,0,0,1581,0,0
9,,SUM,3,0,3,0,0,4595,30,0
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,1,0,1,0,8,1591,0,0
10,CUP,SUM,1,1,0,0,0,1519,0,0
10,SPOON,SUM,1,0,1,0,0,1581,0,0
10,,SUM,3,1,2,0,8,4691,0,0
10,,,,,,,,,,
11,,,,,,,,,,
