RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,1,0,1,0,0,1730,8,0
0,CUP,SUM,0,0,0,0,8,119,9,34.7705729008
0,SPOON,SUM,0,0,0,0,0,413,4,68.6477711201
0,,SUM,1,0,1,0,8,2262,21,103.4183440208
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,2,30,3,23.72239995
1,CUP,SUM,0,0,0,0,0,18,0,15.6956329346
1,SPOON,SUM,0,0,0,0,6,216,13,53.5215101242
1,,SUM,0,0,0,0,8,264,16,92.9395430088
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,0,1478,9,0
2,CUP,SUM,1,0,1,0,0,1171,56,0
2,SPOON,SUM,1,0,1,0,2,1582,0,0
2,,SUM,3,0,3,0,2,4231,65,0
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,8,52,3,30.1395099163
3,CUP,SUM,1,0,1,0,6,1663,0,0
3,SPOON,SUM,0,0,0,0,0,11,3,24.8143157959
3,,SUM,1,0,1,0,14,1726,6,54.9538257122
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,73,0,21.8089170456
4,CUP,SUM,0,0,0,0,10,553,42,96.6059780121
4,SPOON,SUM,0,0,0,0,0,30,1,23.2702269554
4,,SUM,0,0,0,0,10,656,43,141.6851220131
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,284,0,42.817499876
5,CUP,SUM,1,0,1,0,8,469,101,0
5,SPOON,SUM,0,0,0,0,0,3,0,19.8554189205
5,,SUM,1,0,1,0,8,756,101,62.6729187965
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,6,977,4,112.022936821
6,CUP,SUM,1,0,1,0,0,712,97,0
6,SPOON,SUM,1,0,1,0,0,1651,0,0
6,,SUM,2,0,2,0,6,3340,101,112.022936821
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,194,9,44.0687229633
7,CUP,SUM,0,0,0,0,0,114,1,25.2158870697
7,SPOON,SUM,1,0,1,0,18,1589,0,0
7,,SUM,1,0,1,0,18,1897,10,69.284610033
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,0,1,0,2,1509,9,0
8,CUP,SUM,0,0,0,0,2,108,0,23.0277988911
8,SPOON,SUM,0,0,0,0,2,577,12,88.3502869606
8,,SUM,1,0,1,0,6,2194,21,111.3780858517
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,6,1275,45,173.8780109882
9,CUP,SUM,0,0,0,0,0,62,2,19.6882851124
9,SPOON,SUM,0,0,0,0,0,413,1,60.7821500301
9,,SUM,0,0,0,0,6,1750,48,254.3484461308
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,1,0,1,0,0,1320,23,0
