RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,42,8,20.9493629932
0,CUP,SUM,1,0,0,1,0,355,61,0
0,SPOON,SUM,0,0,0,0,0,68,5,22.3206379414
0,,SUM,1,0,0,1,0,465,74,43.2700009346
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,21,6,15.3941979408
1,CUP,SUM,0,0,0,0,0,7,6,10.1462330818
1,SPOON,SUM,1,0,1,0,2,1583,0,0
1,,SUM,1,0,1,0,2,1611,12,25.5404310226
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,10,243,14,38.5037341118
2,CUP,SUM,0,0,0,0,0,17,8,10.8666069508
2,SPOON,SUM,0,0,0,0,6,33,0,17.6080420017
2,,SUM,0,0,0,0,16,293,22,66.9783830643
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,4,0,11.4423480034
3,CUP,SUM,0,0,0,0,0,193,22,49.5121378899
3,SPOON,SUM,0,0,0,0,2,152,2,27.3079140186
3,,SUM,0,0,0,0,2,349,24,88.2623999119
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,82,4,17.5296838284
4,CUP,SUM,1,0,1,0,0,157,112,0
4,SPOON,SUM,0,0,0,0,0,226,1,29.5569648743
4,,SUM,1,0,1,0,0,465,117,47.0866487026
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,23,0,12.1671879292
5,CUP,SUM,0,0,0,0,2,31,3,11.9213690758
5,SPOON,SUM,0,0,0,0,0,21,1,16.8182640076
5,,SUM,0,0,0,0,2,75,4,40.9068210125
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,17,1,13.5321700573
6,CUP,SUM,0,0,0,0,0,288,42,67.5762770176
6,SPOON,SUM,0,0,0,0,0,113,2,24.0821909904
6,,SUM,0,0,0,0,0,418,45,105.1906380653
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,48,20,27.3744280338
7,CUP,SUM,1,0,0,1,0,388,69,0
7,SPOON,SUM,0,0,0,0,0,56,1,17.6448638439
7,,SUM,1,0,0,1,0,492,90,45.0192918777
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,62,0,14.2441129684
8,CUP,SUM,0,0,0,0,0,11,2,9.964910984
8,SPOON,SUM,0,0,0,0,0,106,1,20.1443870068
8,,SUM,0,0,0,0,0,179,3,44.3534109592
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,42,8,20.9187588692
9,CUP,SUM,1,0,0,1,0,355,61,0
9,SPOON,SUM,0,0,0,0,0,68,5,22.2073619366
9,,SUM,1,0,0,1,0,465,74,43.1261208057
9,,,,,,,,,,
10,,,,,,,,,,
