RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,7,2,13.948299884796143
0,CUP,SUM,0,0,0,0,0,16,7,9.530455827713013
0,SPOON,SUM,0,0,0,0,0,15,2,14.101624011993408
0,,SUM,0,0,0,0,0,38,11,37.58037972450256
0,,
1,,
1,BOWL,SUM,0,0,0,0,8,24,0,14.390920877456665
1,CUP,SUM,0,0,0,0,0,23,9,9.089267015457153
1,SPOON,SUM,0,0,0,0,0,14,1,15.136269092559814
1,,SUM,0,0,0,0,8,61,10,38.61645698547363
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,10,1,11.393633842468262
2,CUP,SUM,0,0,0,0,0,16,4,8.606426000595093
2,SPOON,SUM,0,0,0,0,0,0,0,12.997578144073486
2,,SUM,0,0,0,0,0,26,5,32.99763798713684
2,,
3,,
3,BOWL,SUM,0,0,0,0,4,14,0,11.891854047775269
3,CUP,SUM,0,0,0,0,0,16,4,8.858577013015747
3,SPOON,SUM,0,0,0,0,0,23,0,13.459754943847656
3,,SUM,0,0,0,0,4,53,4,34.21018600463867
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,11,0,10.237595081329346
4,CUP,SUM,0,0,0,0,0,4,2,8.335808992385864
4,SPOON,SUM,0,0,0,0,0,6,4,16.074904918670654
4,,SUM,0,0,0,0,0,21,6,34.648308992385864
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,6,0,10.242151021957397
5,CUP,SUM,0,0,0,0,0,43,0,9.283221960067749
5,SPOON,SUM,1,0,1,0,10,1582,0,0.0
5,,SUM,1,0,1,0,10,1631,0,19.525372982025146
5,,
6,,
6,BOWL,SUM,0,0,0,0,112,50,4,59.895740032196045
6,CUP,SUM,0,0,0,0,0,39,2,9.036813974380493
6,SPOON,SUM,0,0,0,0,4,3,1,15.994086027145386
6,,SUM,0,0,0,0,116,92,7,84.92664003372192
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,6,2,10.120087146759033
7,CUP,SUM,0,0,0,0,0,30,0,8.818104982376099
7,SPOON,SUM,0,0,0,0,0,15,0,13.272444009780884
7,,SUM,0,0,0,0,0,51,2,32.210636138916016
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,36,0,11.172857999801636
8,CUP,SUM,1,0,0,1,10,170,58,0.0
8,SPOON,SUM,0,0,0,0,2,78,0,17.561167001724243
8,,SUM,1,0,0,1,12,284,58,28.73402500152588
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,1,0,9.932767868041992
9,CUP,SUM,1,0,0,1,2,217,51,0.0
9,SPOON,SUM,0,0,0,0,0,9,0,13.260983943939209
9,,SUM,1,0,0,1,2,227,51,23.1937518119812
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,11,0,10.23193907737732
10,CUP,SUM,0,0,0,0,0,3,2,8.408581972122192
10,SPOON,SUM,0,0,0,0,0,76,0,16.47628903388977
10,,SUM,0,0,0,0,0,90,2,35.11681008338928
10,,
11,,
