RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


50,,
50,BOWL,SUM,1,0,1,0,0,890,70,0.0
50,CUP,SUM,0,0,0,0,0,12,6,8.93585991859436
50,SPOON,SUM,0,0,0,0,0,453,12,44.15076303482056
50,,SUM,1,0,1,0,0,1355,88,53.08662295341492
50,,
51,,
51,BOWL,SUM,1,0,1,0,0,967,47,0.0
51,CUP,SUM,0,0,0,0,0,82,37,46.40668988227844
51,SPOON,SUM,0,0,0,0,0,106,7,25.567936897277832
51,,SUM,1,0,1,0,0,1155,91,71.97462677955627
51,,
52,,
52,BOWL,SUM,0,0,0,0,0,29,6,13.804650068283081
52,CUP,SUM,0,0,0,0,0,21,9,13.233856916427612
52,SPOON,SUM,0,0,0,0,0,2,4,14.682561159133911
52,,SUM,0,0,0,0,0,52,19,41.721068143844604
52,,
53,,
53,BOWL,SUM,0,0,0,0,0,43,10,17.65164589881897
53,CUP,SUM,0,0,0,0,0,21,10,9.393015146255493
53,SPOON,SUM,0,0,0,0,0,102,13,28.881847143173218
53,,SUM,0,0,0,0,0,166,33,55.92650818824768
53,,
54,,
54,BOWL,SUM,1,0,1,0,0,437,100,0.0
54,CUP,SUM,0,0,0,0,0,4,10,9.04190182685852
54,SPOON,SUM,1,0,1,0,0,1192,44,0.0
54,,SUM,2,0,2,0,0,1633,154,9.04190182685852
54,,
55,,
55,BOWL,SUM,0,0,0,0,2,8,0,10.630002975463867
55,CUP,SUM,0,0,0,0,0,9,5,8.587064981460571
55,SPOON,SUM,0,0,0,0,0,23,3,17.33568501472473
55,,SUM,0,0,0,0,2,40,8,36.55275297164917
55,,
56,,
56,BOWL,SUM,0,0,0,0,0,57,0,12.858620882034302
56,CUP,SUM,0,0,0,0,2,17,14,18.43940806388855
56,SPOON,SUM,0,0,0,0,0,74,12,22.124573945999146
56,,SUM,0,0,0,0,2,148,26,53.422602891922
56,,
57,,
57,BOWL,SUM,0,0,0,0,0,8,4,11.6407630443573
57,CUP,SUM,1,0,0,1,0,171,55,0.0
57,SPOON,SUM,0,0,0,0,0,22,1,15.173563957214355
57,,SUM,1,0,0,1,0,201,60,26.814327001571655
57,,
58,,
58,BOWL,SUM,0,0,0,0,0,8,0,10.147644996643066
58,CUP,SUM,0,0,0,0,0,21,4,8.889150142669678
58,SPOON,SUM,0,0,0,0,0,5,3,16.8959059715271
58,,SUM,0,0,0,0,0,34,7,35.932701110839844
58,,
59,,
59,BOWL,SUM,0,0,0,0,0,9,1,12.13927412033081
59,CUP,SUM,1,0,1,0,24,279,111,0.0
59,SPOON,SUM,1,0,1,0,0,1180,46,0.0
59,,SUM,2,0,2,0,24,1468,158,12.13927412033081
59,,
60,,
60,BOWL,SUM,1,0,1,0,18,424,102,0.0
60,CUP,SUM,0,0,0,0,0,31,3,10.728516817092896
60,SPOON,SUM,0,0,0,0,32,337,10,54.98841691017151
60,,SUM,1,0,1,0,50,792,115,65.7169337272644
60,,
61,,
61,BOWL,SUM,0,0,0,0,0,14,0,10.445367097854614
