RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,4,4,17.9665620327
0,CUP,SUM,1,0,0,1,0,376,64,0
0,SPOON,SUM,0,0,0,0,0,2,0,14.3398399353
0,,SUM,1,0,0,1,0,382,68,32.306401968
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,4,4,18.0704648495
1,CUP,SUM,1,0,0,1,0,376,64,0
1,SPOON,SUM,0,0,0,0,0,2,0,14.2434160709
1,,SUM,1,0,0,1,0,382,68,32.3138809204
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,44,6,15.5472581387
2,CUP,SUM,0,0,0,0,6,50,3,15.3551590443
2,SPOON,SUM,0,0,0,0,0,134,0,22.173304081
2,,SUM,0,0,0,0,6,228,9,53.0757212639
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,68,6,15.6670660973
3,CUP,SUM,1,0,0,1,10,286,76,0
3,SPOON,SUM,1,0,1,0,0,1582,0,0
3,,SUM,2,0,1,1,10,1936,82,15.6670660973
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,64,0,13.6086158752
4,CUP,SUM,0,0,0,0,2,147,36,59.9895100594
4,SPOON,SUM,0,0,0,0,0,191,0,26.1012909412
4,,SUM,0,0,0,0,2,402,36,99.6994168758
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,8,0,11.1851658821
5,CUP,SUM,1,0,1,0,6,180,112,0
5,SPOON,SUM,0,0,0,0,0,92,1,20.518089056
5,,SUM,1,0,1,0,6,280,113,31.7032549381
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,20,1,12.8781359196
6,CUP,SUM,0,0,0,0,6,19,2,11.8152139187
6,SPOON,SUM,0,0,0,0,0,18,5,18.1728470325
6,,SUM,0,0,0,0,6,57,8,42.8661968708
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,2,17,6,15.5055339336
7,CUP,SUM,0,0,0,0,2,118,24,34.7202310562
7,SPOON,SUM,0,0,0,0,0,11,6,20.7458629608
7,,SUM,0,0,0,0,4,146,36,70.9716279507
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,18,1,13.0994749069
8,CUP,SUM,0,0,0,0,0,124,32,31.9348919392
8,SPOON,SUM,0,0,0,0,0,81,0,18.4419300556
8,,SUM,0,0,0,0,0,223,33,63.4762969017
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,13,1,12.9750478268
9,CUP,SUM,0,0,0,0,0,328,45,83.051473856
9,SPOON,SUM,0,0,0,0,112,127,2,69.0299181938
9,,SUM,0,0,0,0,112,468,48,165.0564398766
9,,,,,,,,,,
10,,,,,,,,,,
