RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,8,0,14.5587670803
0,CUP,SUM,1,0,1,0,0,246,95,0
0,SPOON,SUM,1,0,1,0,4,1581,0,0
0,,SUM,2,0,2,0,4,1835,95,14.5587670803
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,80,30,36.3957979679
1,CUP,SUM,0,0,0,0,0,77,16,34.3625080585
1,SPOON,SUM,1,0,1,0,0,1502,14,0
1,,SUM,1,0,1,0,0,1659,60,70.7583060265
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,7,6,14.3585660458
2,CUP,SUM,0,0,0,0,0,10,8,10.158673048
2,SPOON,SUM,0,0,0,0,8,78,3,24.3467988968
2,,SUM,0,0,0,0,8,95,17,48.8640379906
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,10,4,13.1129789352
3,CUP,SUM,1,0,1,0,0,153,96,0
3,SPOON,SUM,0,0,0,0,6,92,4,22.6893649101
3,,SUM,1,0,1,0,6,255,104,35.8023438454
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,25,0,11.6274368763
4,CUP,SUM,0,0,0,0,2,10,10,12.1225669384
4,SPOON,SUM,0,0,0,0,0,6,6,17.8500339985
4,,SUM,0,0,0,0,2,41,16,41.6000378132
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,7,0,11.4442329407
5,CUP,SUM,0,0,0,0,0,20,2,13.1928701401
5,SPOON,SUM,1,0,1,0,0,970,60,0
5,,SUM,1,0,1,0,0,997,62,24.6371030807
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,2,10,0,11.7734761238
6,CUP,SUM,0,0,0,0,0,37,36,34.5613100529
6,SPOON,SUM,0,0,0,0,0,51,12,23.9673299789
6,,SUM,0,0,0,0,2,98,48,70.3021161556
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,6,22,1,15.1259889603
7,CUP,SUM,0,0,0,0,0,18,4,15.0457670689
7,SPOON,SUM,1,0,1,0,0,1498,18,0
7,,SUM,1,0,1,0,6,1538,23,30.1717560291
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,2,31,4,14.5450110435
8,CUP,SUM,0,0,0,0,16,36,9,22.9440920353
8,SPOON,SUM,0,0,0,0,2,105,3,25.415979147
8,,SUM,0,0,0,0,20,172,16,62.9050822258
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,32,5,15.1207740307
9,CUP,SUM,0,0,0,0,0,16,2,9.9891061783
9,SPOON,SUM,0,0,0,0,0,21,1,15.2303538322
9,,SUM,0,0,0,0,0,69,8,40.3402340412
9,,,,,,,,,,
10,,,,,,,,,,
