RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,8,1,34.4429359436
0,CUP,SUM,0,0,0,0,0,47,10,49.2273170948
0,SPOON,SUM,0,0,0,0,0,14,6,39.1924028397
0,,SUM,0,0,0,0,0,69,17,122.8626558781
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,105,1,41.1579101086
1,CUP,SUM,0,0,0,0,14,13,4,34.9759438038
1,SPOON,SUM,0,0,0,0,0,208,0,59.9602169991
1,,SUM,0,0,0,0,14,326,5,136.0940709114
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,11,1,30.0742609501
2,CUP,SUM,0,0,0,0,0,29,2,24.8898508549
2,SPOON,SUM,0,0,0,0,0,215,5,69.4613740444
2,,SUM,0,0,0,0,0,255,8,124.4254858494
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,1,0,1,0,0,1027,68,0
3,CUP,SUM,0,0,0,0,0,18,10,25.3782529831
3,SPOON,SUM,1,0,1,0,0,1582,0,0
3,,SUM,2,0,2,0,0,2627,78,25.3782529831
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,46,8,40.9767580032
4,CUP,SUM,0,0,0,0,8,110,6,71.2527179718
4,SPOON,SUM,0,0,0,0,0,0,0,28.6313681602
4,,SUM,0,0,0,0,8,156,14,140.8608441353
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,0,1,0,0,1394,24,0
5,CUP,SUM,0,0,0,0,0,11,6,29.4031970501
5,SPOON,SUM,0,0,0,0,0,27,0,29.2916431427
5,,SUM,1,0,1,0,0,1432,30,58.6948401928
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,29,4,31.4773638248
6,CUP,SUM,0,0,0,0,2,30,13,67.8522150517
6,SPOON,SUM,1,0,1,0,0,1479,10,0
6,,SUM,1,0,1,0,2,1538,27,99.3295788765
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,8,0,26.4151370525
7,CUP,SUM,0,0,0,0,2,18,6,30.8402969837
7,SPOON,SUM,0,0,0,0,0,478,0,99.7227091789
7,,SUM,0,0,0,0,2,504,6,156.9781432152
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,31,2,27.8037798405
8,CUP,SUM,0,0,0,0,2,60,17,65.1589000225
8,SPOON,SUM,0,0,0,0,24,36,1,56.2376630306
8,,SUM,0,0,0,0,26,127,20,149.2003428936
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,21,0,26.4497849941
9,CUP,SUM,0,0,0,0,0,24,7,39.4621751308
9,SPOON,SUM,1,0,1,0,0,1650,0,0
9,,SUM,1,0,1,0,0,1695,7,65.911960125
9,,,,,,,,,,
10,,,,,,,,,,
