RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,130,31,68.0375299454
0,CUP,SUM,0,0,0,0,0,9,0,15.6873588562
0,SPOON,SUM,0,0,0,0,2,31,3,22.011649847
0,,SUM,0,0,0,0,2,170,34,105.7365386486
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,0,19,12,30.0659418106
1,CUP,SUM,0,0,0,0,0,147,57,133.4649322033
1,SPOON,SUM,0,0,0,0,0,46,11,33.6780619621
1,,SUM,0,0,0,0,0,212,80,197.208935976
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,0,1477,14,0
2,CUP,SUM,0,0,0,0,0,16,3,16.047216177
2,SPOON,SUM,0,0,0,0,0,16,2,18.7901089191
2,,SUM,1,0,1,0,0,1509,19,34.8373250961
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,174,26,54.5206429958
3,CUP,SUM,0,0,0,0,2,21,6,24.0472230911
3,SPOON,SUM,0,0,0,0,0,11,2,18.5468239784
3,,SUM,0,0,0,0,2,206,34,97.1146900654
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,36,4,20.6987190247
4,CUP,SUM,0,0,0,0,0,36,3,16.6568830013
4,SPOON,SUM,0,0,0,0,2,20,2,19.2005131245
4,,SUM,0,0,0,0,2,92,9,56.5561151505
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,105,3,28.2280170918
5,CUP,SUM,0,0,0,0,0,9,3,18.3762609959
5,SPOON,SUM,1,0,1,0,0,1582,0,0
5,,SUM,1,0,1,0,0,1696,6,46.6042780876
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,2,1170,3,119.549052
6,CUP,SUM,0,0,0,0,0,17,3,21.0605540276
6,SPOON,SUM,0,0,0,0,0,77,0,24.3955419064
6,,SUM,0,0,0,0,2,1264,6,165.005147934
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,41,8,25.8328850269
7,CUP,SUM,1,0,1,0,0,255,111,0
7,SPOON,SUM,0,0,0,0,0,259,0,40.5887970924
7,,SUM,1,0,1,0,0,555,119,66.4216821194
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,13,4,20.0293140411
8,CUP,SUM,0,0,0,0,0,37,8,21.4222989082
8,SPOON,SUM,1,0,1,0,0,1582,0,0
8,,SUM,1,0,1,0,0,1632,12,41.4516129494
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,6,71,3,23.0035641193
9,CUP,SUM,0,0,0,0,0,19,7,19.01364398
9,SPOON,SUM,0,0,0,0,6,36,0,23.213973999
9,,SUM,0,0,0,0,12,126,10,65.2311820984
9,,,,,,,,,,
10,,,,,,,,,,
