RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,1,0,1,0,0,1730,8,0.0
0,CUP,SUM,0,0,0,0,8,119,9,34.770572900772095
0,SPOON,SUM,0,0,0,0,0,413,4,68.64777112007141
0,,SUM,1,0,1,0,8,2262,21,103.4183440208435
0,,
1,,
1,BOWL,SUM,0,0,0,0,2,30,3,23.722399950027466
1,CUP,SUM,0,0,0,0,0,18,0,15.695632934570313
1,SPOON,SUM,0,0,0,0,6,216,13,53.52151012420654
1,,SUM,0,0,0,0,8,264,16,92.93954300880432
1,,
2,,
2,BOWL,SUM,1,0,1,0,0,1478,9,0.0
2,CUP,SUM,1,0,1,0,0,1171,56,0.0
2,SPOON,SUM,1,0,1,0,2,1582,0,0.0
2,,SUM,3,0,3,0,2,4231,65,0.0
2,,
3,,
3,BOWL,SUM,0,0,0,0,8,52,3,30.139509916305542
3,CUP,SUM,1,0,1,0,6,1663,0,0.0
3,SPOON,SUM,0,0,0,0,0,11,3,24.814315795898438
3,,SUM,1,0,1,0,14,1726,6,54.95382571220398
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,73,0,21.80891704559326
4,CUP,SUM,0,0,0,0,10,553,42,96.60597801208496
4,SPOON,SUM,0,0,0,0,0,30,1,23.27022695541382
4,,SUM,0,0,0,0,10,656,43,141.68512201309204
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,284,0,42.81749987602234
5,CUP,SUM,1,0,1,0,8,469,101,0.0
5,SPOON,SUM,0,0,0,0,0,3,0,19.855418920516968
5,,SUM,1,0,1,0,8,756,101,62.67291879653931
5,,
6,,
6,BOWL,SUM,0,0,0,0,6,977,4,112.02293682098389
6,CUP,SUM,1,0,1,0,0,712,97,0.0
6,SPOON,SUM,1,0,1,0,0,1651,0,0.0
6,,SUM,2,0,2,0,6,3340,101,112.02293682098389
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,194,9,44.06872296333313
7,CUP,SUM,0,0,0,0,0,114,1,25.21588706970215
7,SPOON,SUM,1,0,1,0,18,1589,0,0.0
7,,SUM,1,0,1,0,18,1897,10,69.28461003303528
7,,
8,,
8,BOWL,SUM,1,0,1,0,2,1509,9,0.0
8,CUP,SUM,0,0,0,0,2,108,0,23.027798891067505
8,SPOON,SUM,0,0,0,0,2,577,12,88.3502869606018
8,,SUM,1,0,1,0,6,2194,21,111.37808585166931
8,,
9,,
9,BOWL,SUM,0,0,0,0,6,1275,45,173.87801098823547
9,CUP,SUM,0,0,0,0,0,62,2,19.68828511238098
9,SPOON,SUM,0,0,0,0,0,413,1,60.78215003013611
9,,SUM,0,0,0,0,6,1750,48,254.34844613075256
9,,
10,,
10,BOWL,SUM,1,0,1,0,0,1320,23,0.0
10,CUP,SUM,0,0,0,0,0,98,6,23.344077110290527
10,SPOON,SUM,1,0,1,0,8,1764,0,0.0
10,,SUM,2,0,2,0,8,3182,29,23.344077110290527
10,,
11,,
11,BOWL,SUM,0,0,0,0,0,78,9,38.042404890060425
