RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,53,15,27.887158155441284
0,CUP,SUM,0,0,0,0,0,24,14,13.1420578956604
0,SPOON,SUM,0,0,0,0,2,118,3,23.69696807861328
0,,SUM,0,0,0,0,2,195,32,64.72618412971497
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,13,0,11.937226057052612
1,CUP,SUM,1,0,1,0,0,77,112,0.0
1,SPOON,SUM,0,0,0,0,0,127,2,25.1113760471344
1,,SUM,1,0,1,0,0,217,114,37.04860210418701
1,,
2,,
2,BOWL,SUM,0,0,0,0,60,42,0,42.01776909828186
2,CUP,SUM,1,0,0,1,0,435,54,0.0
2,SPOON,SUM,0,0,0,0,0,31,1,15.232048034667969
2,,SUM,1,0,0,1,60,508,55,57.24981713294983
2,,
3,,
3,BOWL,SUM,0,0,0,0,2,7,0,11.73085618019104
3,CUP,SUM,0,0,0,0,0,9,0,9.533756971359253
3,SPOON,SUM,0,0,0,0,0,54,3,20.917349100112915
3,,SUM,0,0,0,0,2,70,3,42.18196225166321
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,97,1,16.888303995132446
4,CUP,SUM,1,0,1,0,62,154,68,0.0
4,SPOON,SUM,0,0,0,0,0,368,0,36.58705997467041
4,,SUM,1,0,1,0,62,619,69,53.475363969802856
4,,
5,,
5,BOWL,SUM,1,0,1,0,0,1109,56,0.0
5,CUP,SUM,0,0,0,0,0,13,6,11.200937032699585
5,SPOON,SUM,0,0,0,0,2,76,0,19.7018940448761
5,,SUM,1,0,1,0,2,1198,62,30.902831077575684
5,,
6,,
6,BOWL,SUM,1,0,1,0,2,770,38,0.0
6,CUP,SUM,0,0,0,0,0,14,7,10.496561050415039
6,SPOON,SUM,0,0,0,0,0,137,3,27.68877601623535
6,,SUM,1,0,1,0,2,921,48,38.18533706665039
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,16,0,12.083591938018799
7,CUP,SUM,0,0,0,0,0,7,6,10.263035774230957
7,SPOON,SUM,0,0,0,0,8,148,0,25.607982873916626
7,,SUM,0,0,0,0,8,171,6,47.95461058616638
7,,
8,,
8,BOWL,SUM,1,0,1,0,10,1292,18,0.0
8,CUP,SUM,0,0,0,0,0,12,0,10.314388990402222
8,SPOON,SUM,0,0,0,0,0,137,0,21.960097789764404
8,,SUM,1,0,1,0,10,1441,18,32.274486780166626
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,64,2,15.615957021713257
9,CUP,SUM,0,0,0,0,0,127,22,41.823365926742554
9,SPOON,SUM,0,0,0,0,0,7,2,17.82087993621826
9,,SUM,0,0,0,0,0,198,26,75.26020288467407
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,2,0,11.32550597190857
10,CUP,SUM,0,0,0,0,0,22,5,12.128080129623413
10,SPOON,SUM,0,0,0,0,6,90,3,24.71474003791809
10,,SUM,0,0,0,0,6,114,8,48.16832613945007
10,,
11,,
11,BOWL,SUM,0,0,0,0,2,45,0,14.067331075668335
11,CUP,SUM,1,0,1,0,72,613,20,0.0
11,SPOON,SUM,0,0,0,0,10,19,1,21.370594024658203
11,,SUM,1,0,1,0,84,677,21,35.43792510032654
11,,
12,,
12,BOWL,SUM,0,0,0,0,0,128,4,19.8647940158844
12,CUP,SUM,1,0,0,1,0,299,59,0.0
12,SPOON,SUM,0,0,0,0,0,28,1,16.43572998046875
12,,SUM,1,0,0,1,0,455,64,36.30052399635315
12,,
13,,
13,BOWL,SUM,1,0,1,0,44,580,30,0.0
13,CUP,SUM,0,0,0,0,2,7,4,11.24937891960144
13,SPOON,SUM,0,0,0,0,0,137,0,23.303306818008423
13,,SUM,1,0,1,0,46,724,34,34.55268573760986
13,,
14,,
14,BOWL,SUM,0,0,0,0,0,12,0,11.837409019470215
14,CUP,SUM,0,0,0,0,0,26,2,10.579829931259155
14,SPOON,SUM,0,0,0,0,2,0,1,16.650381803512573
14,,SUM,0,0,0,0,2,38,3,39.06762075424194
14,,
15,,
15,BOWL,SUM,0,0,0,0,0,54,24,32.89515209197998
15,CUP,SUM,0,0,0,0,0,9,18,16.101927995681763
15,SPOON,SUM,0,0,0,0,2,2,4,18.0538330078125
15,,SUM,0,0,0,0,2,65,46,67.05091309547424
15,,
16,,
16,BOWL,SUM,1,0,1,0,0,622,44,0.0
16,CUP,SUM,0,0,0,0,0,32,10,17.837135076522827
16,SPOON,SUM,0,0,0,0,0,741,26,76.37925887107849
16,,SUM,1,0,1,0,0,1395,80,94.21639394760132
16,,
17,,
17,BOWL,SUM,1,0,1,0,6,1108,50,0.0
17,CUP,SUM,0,0,0,0,0,20,10,12.335167169570923
17,SPOON,SUM,0,0,0,0,0,39,2,17.45169997215271
17,,SUM,1,0,1,0,6,1167,62,29.786867141723633
17,,
18,,
18,BOWL,SUM,0,0,0,0,40,122,9,52.80563187599182
18,CUP,SUM,0,0,0,0,0,14,4,9.993349075317383
18,SPOON,SUM,0,0,0,0,0,95,4,21.208834171295166
18,,SUM,0,0,0,0,40,231,17,84.00781512260437
18,,
19,,
19,BOWL,SUM,1,0,1,0,2,1294,44,0.0
19,CUP,SUM,0,0,0,0,16,14,8,18.972774028778076
19,SPOON,SUM,0,0,0,0,0,318,0,34.432390213012695
19,,SUM,1,0,1,0,18,1626,52,53.40516424179077
19,,
20,,
