RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,1,1,0,0,0,259,0,0
0,CUP,SUM,1,1,0,0,0,259,0,0
0,SPOON,SUM,1,0,1,0,0,319,0,0
0,,SUM,3,2,1,0,0,837,0,0
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,1,1,0,0,0,259,0,0
1,CUP,SUM,1,0,1,0,6,285,0,0
1,SPOON,SUM,1,0,1,0,2,281,0,0
1,,SUM,3,1,2,0,8,825,0,0
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,1,0,0,0,259,0,0
2,CUP,SUM,1,0,1,0,0,290,0,0
2,SPOON,SUM,1,0,1,0,0,286,0,0
2,,SUM,3,1,2,0,0,835,0,0
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,1,1,0,0,0,259,0,0
3,CUP,SUM,1,0,1,0,4,235,67,0
3,SPOON,SUM,1,0,1,0,0,281,0,0
3,,SUM,3,1,2,0,4,775,67,0
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,1,1,0,0,0,259,0,0
4,CUP,SUM,1,0,1,0,0,357,0,0
4,SPOON,SUM,1,1,0,0,0,259,0,0
4,,SUM,3,2,1,0,0,875,0,0
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,0,1,0,0,360,0,0
5,CUP,SUM,1,0,1,0,0,290,0,0
5,SPOON,SUM,1,0,1,0,24,292,0,0
5,,SUM,3,0,3,0,24,942,0,0
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,1,0,1,0,8,344,0,0
6,CUP,SUM,1,0,1,0,0,222,64,0
6,SPOON,SUM,1,1,0,0,0,259,0,0
6,,SUM,3,1,2,0,8,825,64,0
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,1,0,1,0,10,294,0,0
7,CUP,SUM,1,1,0,0,0,259,0,0
7,SPOON,SUM,1,1,0,0,0,259,0,0
7,,SUM,3,2,1,0,10,812,0,0
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,1,0,0,0,259,0,0
8,CUP,SUM,1,0,1,0,58,186,0,0
8,SPOON,SUM,1,0,1,0,0,339,0,0
8,,SUM,3,1,2,0,58,784,0,0
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,1,0,1,0,0,311,0,0
9,CUP,SUM,1,0,0,1,0,462,7,0
9,SPOON,SUM,1,0,1,0,6,386,0,0
9,,SUM,3,0,2,1,6,1159,7,0
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,1,0,1,0,0,282,0,0
10,CUP,SUM,1,0,1,0,0,289,0,0
10,SPOON,SUM,1,1,0,0,0,259,0,0
10,,SUM,3,1,2,0,0,830,0,0
10,,,,,,,,,,
11,,,,,,,,,,
11,BOWL,SUM,1,0,1,0,2,311,0,0
11,CUP,SUM,1,0,1,0,2,357,0,0
