RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,2,108,0,16.749900817871094
0,CUP,SUM,1,1,0,0,160,19,0,0.0
0,SPOON,SUM,1,0,1,0,0,388,0,0.0
0,,SUM,2,1,1,0,162,515,0,16.749900817871094
0,,
1,,
1,BOWL,SUM,1,1,0,0,152,40,0,0.0
1,CUP,SUM,1,1,0,0,160,29,0,0.0
1,SPOON,SUM,1,1,0,0,152,50,0,0.0
1,,SUM,3,3,0,0,464,119,0,0.0
1,,
2,,
2,BOWL,SUM,1,1,0,0,160,22,0,0.0
2,CUP,SUM,1,1,0,0,160,26,0,0.0
2,SPOON,SUM,1,1,0,0,160,17,0,0.0
2,,SUM,3,3,0,0,480,65,0,0.0
2,,
3,,
3,BOWL,SUM,1,0,1,0,0,303,0,0.0
3,CUP,SUM,1,1,0,0,160,13,0,0.0
3,SPOON,SUM,1,1,0,0,152,53,0,0.0
3,,SUM,3,2,1,0,312,369,0,0.0
3,,
4,,
4,BOWL,SUM,1,0,1,0,0,259,0,0.0
4,CUP,SUM,1,1,0,0,160,21,0,0.0
4,SPOON,SUM,0,0,0,0,0,20,0,14.621534824371338
4,,SUM,2,1,1,0,160,300,0,14.621534824371338
4,,
5,,
5,BOWL,SUM,1,1,0,0,0,227,0,0.0
5,CUP,SUM,1,1,0,0,0,227,0,0.0
5,SPOON,SUM,1,1,0,0,136,107,0,0.0
5,,SUM,3,3,0,0,136,561,0,0.0
5,,
6,,
6,BOWL,SUM,1,1,0,0,144,100,0,0.0
6,CUP,SUM,0,0,0,0,0,43,32,19.62974786758423
6,SPOON,SUM,1,1,0,0,160,14,0,0.0
6,,SUM,2,2,0,0,304,157,32,19.62974786758423
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,210,18,22.556487798690796
7,CUP,SUM,1,1,0,0,0,227,0,0.0
7,SPOON,SUM,1,0,1,0,0,259,0,0.0
7,,SUM,2,1,1,0,0,696,18,22.556487798690796
7,,
8,,
8,BOWL,SUM,1,0,1,0,0,355,0,0.0
8,CUP,SUM,1,1,0,0,160,30,0,0.0
8,SPOON,SUM,1,1,0,0,128,134,0,0.0
8,,SUM,3,2,1,0,288,519,0,0.0
8,,
9,,
9,BOWL,SUM,1,1,0,0,0,227,0,0.0
9,CUP,SUM,1,1,0,0,160,17,0,0.0
9,SPOON,SUM,1,1,0,0,160,17,0,0.0
9,,SUM,3,3,0,0,320,261,0,0.0
9,,
10,,
10,BOWL,SUM,1,1,0,0,0,227,0,0.0
10,CUP,SUM,1,1,0,0,160,20,0,0.0
10,SPOON,SUM,1,1,0,0,160,38,0,0.0
10,,SUM,3,3,0,0,320,285,0,0.0
10,,
11,,
11,BOWL,SUM,1,1,0,0,152,69,0,0.0
11,CUP,SUM,1,1,0,0,160,20,0,0.0
11,SPOON,SUM,1,1,0,0,160,14,0,0.0
11,,SUM,3,3,0,0,472,103,0,0.0
11,,
12,,
12,BOWL,SUM,1,0,1,0,0,334,92,0.0
