RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,1,0,1,0,0,47,102,0
0,CUP,SUM,1,0,0,1,0,40,55,0
0,SPOON,SUM,0,0,0,0,2,25,0,47.6007609367
0,,SUM,2,0,1,1,2,112,157,47.6007609367
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,1,0,1,0,0,122,0,0
1,CUP,SUM,1,0,0,1,0,42,29,0
1,SPOON,SUM,0,0,0,0,0,2,0,46.4416658878
1,,SUM,2,0,1,1,0,166,29,46.4416658878
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,2,44,104,0
2,CUP,SUM,1,0,0,1,24,45,17,0
2,SPOON,SUM,1,0,1,0,0,123,0,0
2,,SUM,3,0,2,1,26,212,121,0
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,48,0,42.7691559792
3,CUP,SUM,1,0,0,1,2,40,23,0
3,SPOON,SUM,0,0,0,0,0,5,10,46.894135952
3,,SUM,1,0,0,1,2,93,33,89.6632919312
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,1,0,1,0,0,90,86,0
4,CUP,SUM,1,0,0,1,0,64,57,0
4,SPOON,SUM,1,0,1,0,0,61,100,0
4,,SUM,3,0,2,1,0,215,243,0
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,0,1,0,10,28,104,0
5,CUP,SUM,1,0,0,1,0,36,27,0
5,SPOON,SUM,0,0,0,0,0,22,0,46.4869599342
5,,SUM,2,0,1,1,10,86,131,46.4869599342
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,0,20,54,47.8236720562
6,CUP,SUM,0,0,0,0,0,36,10,44.7250771523
6,SPOON,SUM,0,0,0,0,0,2,0,45.6564259529
6,,SUM,0,0,0,0,0,58,64,138.2051751614
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,1,0,1,0,0,138,0,0
7,CUP,SUM,1,0,1,0,0,14,113,0
7,SPOON,SUM,0,0,0,0,0,21,0,46.2814688683
7,,SUM,2,0,2,0,0,173,113,46.2814688683
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,0,1,0,0,122,0,0
8,CUP,SUM,1,0,0,1,0,44,29,0
8,SPOON,SUM,1,0,1,0,2,117,56,0
8,,SUM,3,0,2,1,2,283,85,0
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,1,0,1,0,0,94,88,0
9,CUP,SUM,1,0,0,1,0,64,79,0
9,SPOON,SUM,0,0,0,0,2,2,0,47.4771900177
9,,SUM,2,0,1,1,2,160,167,47.4771900177
9,,,,,,,,,,
