RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,101,82,38.442935943603516
0,CUP,SUM,1,0,0,1,0,52,53,0.0
0,SPOON,SUM,0,0,0,0,0,10,0,14.02034306526184
0,,SUM,1,0,0,1,0,163,135,52.463279008865356
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,32,6,12.935539960861206
1,CUP,SUM,0,0,0,0,0,28,9,10.173346996307373
1,SPOON,SUM,0,0,0,0,0,5,16,17.83034586906433
1,,SUM,0,0,0,0,0,65,31,40.93923282623291
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,103,0,13.317791223526001
2,CUP,SUM,1,0,0,1,0,61,54,0.0
2,SPOON,SUM,0,0,0,0,0,3,0,13.533122062683105
2,,SUM,1,0,0,1,0,167,54,26.850913286209106
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,37,12,14.469054222106934
3,CUP,SUM,0,0,0,0,0,56,38,20.939301013946533
3,SPOON,SUM,0,0,0,0,0,3,0,13.909332036972046
3,,SUM,0,0,0,0,0,96,50,49.31768727302551
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,24,29,19.980909824371338
4,CUP,SUM,1,0,0,1,0,89,55,0.0
4,SPOON,SUM,1,0,1,0,0,74,100,0.0
4,,SUM,2,0,1,1,0,187,184,19.980909824371338
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,33,2,11.465444087982178
5,CUP,SUM,0,0,0,0,0,48,23,17.972666025161743
5,SPOON,SUM,1,0,1,0,0,76,100,0.0
5,,SUM,1,0,1,0,0,157,125,29.43811011314392
5,,
6,,
6,BOWL,SUM,0,0,0,0,40,39,0,30.3874249458313
6,CUP,SUM,1,0,1,0,0,72,111,0.0
6,SPOON,SUM,0,0,0,0,0,3,2,14.530829906463623
6,,SUM,1,0,1,0,40,114,113,44.91825485229492
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,52,17,17.612916946411133
7,CUP,SUM,1,0,0,1,2,41,51,0.0
7,SPOON,SUM,0,0,0,0,0,116,0,16.868252992630005
7,,SUM,1,0,0,1,2,209,68,34.48116993904114
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,24,0,11.38017201423645
8,CUP,SUM,0,0,0,0,0,40,7,10.325466871261597
8,SPOON,SUM,1,0,1,0,0,126,98,0.0
8,,SUM,1,0,1,0,0,190,105,21.705638885498047
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,20,29,20.451989889144897
9,CUP,SUM,1,0,0,1,2,53,51,0.0
9,SPOON,SUM,0,0,0,0,0,3,0,14.621726036071777
9,,SUM,1,0,0,1,2,76,80,35.073715925216675
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,24,12,14.37420392036438
10,CUP,SUM,1,0,0,1,0,41,56,0.0
10,SPOON,SUM,1,0,1,0,2,58,104,0.0
10,,SUM,2,0,1,1,2,123,172,14.37420392036438
10,,
11,,
11,BOWL,SUM,1,1,0,0,160,0,0,0.0
