RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,1,0,1,0,0,47,238,0.0
0,CUP,SUM,1,0,0,1,0,49,52,0.0
0,SPOON,SUM,0,0,0,0,0,10,0,13.747852087020874
0,,SUM,2,0,1,1,0,106,290,13.747852087020874
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,41,0,11.773725986480713
1,CUP,SUM,1,0,0,1,0,41,50,0.0
1,SPOON,SUM,0,0,0,0,0,2,0,13.849700927734375
1,,SUM,1,0,0,1,0,84,50,25.623426914215088
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,24,40,15.485666036605835
2,CUP,SUM,1,0,0,1,2,66,37,0.0
2,SPOON,SUM,0,0,0,0,0,18,0,13.72604489326477
2,,SUM,1,0,0,1,2,108,77,29.211710929870605
2,,
3,,
3,BOWL,SUM,1,1,0,0,96,17,0,0.0
3,CUP,SUM,0,0,0,0,2,48,2,11.096551895141602
3,SPOON,SUM,1,0,1,0,0,70,254,0.0
3,,SUM,2,1,1,0,98,135,256,11.096551895141602
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,36,0,11.31008791923523
4,CUP,SUM,1,1,0,0,96,0,0,0.0
4,SPOON,SUM,0,0,0,0,0,2,0,13.744763135910034
4,,SUM,1,1,0,0,96,38,0,25.054851055145264
4,,
5,,
5,BOWL,SUM,1,0,1,0,0,78,232,0.0
5,CUP,SUM,1,0,0,1,6,66,40,0.0
5,SPOON,SUM,0,0,0,0,0,74,46,21.48400592803955
5,,SUM,2,0,1,1,6,218,318,21.48400592803955
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,20,20,13.400141954421997
6,CUP,SUM,1,0,0,1,2,45,37,0.0
6,SPOON,SUM,0,0,0,0,6,80,0,17.220659017562866
6,,SUM,1,0,0,1,8,145,57,30.620800971984863
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,22,17,16.55961799621582
7,CUP,SUM,1,0,0,1,2,66,41,0.0
7,SPOON,SUM,0,0,0,0,0,22,8,14.547998189926147
7,,SUM,1,0,0,1,2,110,66,31.107616186141968
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,36,22,17.012454986572266
8,CUP,SUM,1,0,0,1,0,66,74,0.0
8,SPOON,SUM,1,0,1,0,0,68,262,0.0
8,,SUM,2,0,1,1,0,170,358,17.012454986572266
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,34,65,22.67669916152954
9,CUP,SUM,1,0,0,1,0,65,33,0.0
10,,
10,BOWL,SUM,1,0,1,0,0,47,238,0.0
10,CUP,SUM,1,0,0,1,0,49,52,0.0
10,SPOON,SUM,0,0,0,0,0,10,0,14.577277898788452
10,,SUM,2,0,1,1,0,106,290,14.577277898788452
10,,
11,,
11,BOWL,SUM,0,0,0,0,0,41,0,12.576086044311523
11,CUP,SUM,1,0,0,1,0,41,50,0.0
11,SPOON,SUM,0,0,0,0,0,2,0,13.955965995788574
11,,SUM,1,0,0,1,0,84,50,26.532052040100098
11,,
12,,
