RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


11,,
11,BOWL,SUM,0,0,0,0,2,32,0,43.31655406951904
11,CUP,SUM,1,0,0,1,0,28,41,0.0
11,SPOON,SUM,1,0,1,0,0,43,142,0.0
11,,SUM,2,0,1,1,2,103,183,43.31655406951904
11,,
12,,
12,BOWL,SUM,1,0,1,0,2,46,136,0.0
12,CUP,SUM,0,0,0,0,0,40,56,55.44802904129028
12,SPOON,SUM,1,0,1,0,2,60,144,0.0
12,,SUM,2,0,2,0,4,146,336,55.44802904129028
12,,
13,,
13,BOWL,SUM,0,0,0,0,0,47,124,56.13776397705078
13,CUP,SUM,0,0,0,0,0,48,4,43.54955697059631
13,SPOON,SUM,0,0,0,0,0,22,0,45.32140493392944
13,,SUM,0,0,0,0,0,117,128,145.00872588157654
13,,
14,,
14,BOWL,SUM,1,0,1,0,0,149,0,0.0
14,CUP,SUM,1,0,0,1,0,28,37,0.0
14,SPOON,SUM,1,0,1,0,2,133,0,0.0
14,,SUM,3,0,2,1,2,310,37,0.0
14,,
15,,
15,BOWL,SUM,0,0,0,0,0,20,26,43.56710386276245
15,CUP,SUM,1,0,0,1,0,22,77,0.0
15,SPOON,SUM,1,0,1,0,0,133,0,0.0
15,,SUM,2,0,1,1,0,175,103,43.56710386276245
15,,
16,,
16,BOWL,SUM,1,0,1,0,0,136,0,0.0
16,CUP,SUM,0,0,0,0,2,52,22,50.95332407951355
16,SPOON,SUM,0,0,0,0,0,21,0,45.95514702796936
16,,SUM,1,0,1,0,2,209,22,96.90847110748291
16,,
17,,
17,BOWL,SUM,0,0,0,0,0,20,61,51.61315703392029
17,CUP,SUM,0,0,0,0,2,16,99,58.10156488418579
17,SPOON,SUM,1,0,1,0,2,140,0,0.0
17,,SUM,1,0,1,0,4,176,160,109.71472191810608
17,,
18,,
18,BOWL,SUM,0,0,0,0,0,37,56,47.19731903076172
18,CUP,SUM,0,0,0,0,0,48,12,44.22274684906006
18,SPOON,SUM,1,0,1,0,0,133,0,0.0
18,,SUM,1,0,1,0,0,218,68,91.42006587982178
18,,
19,,
19,BOWL,SUM,0,0,0,0,0,36,48,46.937734842300415
19,CUP,SUM,0,0,0,0,0,34,0,43.36917996406555
19,SPOON,SUM,1,0,1,0,0,133,0,0.0
19,,SUM,1,0,1,0,0,203,48,90.30691480636597
19,,
20,,
20,BOWL,SUM,0,0,0,0,0,20,52,47.19583702087402
20,CUP,SUM,0,0,0,0,0,28,4,43.07179403305054
20,SPOON,SUM,1,0,1,0,0,140,0,0.0
20,,SUM,1,0,1,0,0,188,56,90.26763105392456
20,,
21,,
21,BOWL,SUM,1,0,1,0,0,54,130,0.0
21,CUP,SUM,1,0,1,0,0,23,148,0.0
21,SPOON,SUM,0,0,0,0,2,2,0,46.81800293922424
21,,SUM,2,0,2,0,2,79,278,46.81800293922424
21,,
22,,
22,BOWL,SUM,0,0,0,0,0,17,18,43.42947697639465
22,CUP,SUM,0,0,0,0,0,54,64,66.09470796585083
