RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,52,19,19.00991201400757
0,CUP,SUM,1,0,0,1,0,90,55,0.0
0,SPOON,SUM,1,0,1,0,0,214,0,0.0
0,,SUM,2,0,1,1,0,356,74,19.00991201400757
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,49,17,15.975137948989868
1,CUP,SUM,1,0,0,1,0,72,52,0.0
1,SPOON,SUM,1,0,1,0,0,186,0,0.0
1,,SUM,2,0,1,1,0,307,69,15.975137948989868
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,38,2,9.341951131820679
2,CUP,SUM,0,0,0,0,0,137,8,11.424550771713257
2,SPOON,SUM,0,0,0,0,0,33,5,14.244040966033936
2,,SUM,0,0,0,0,0,208,15,35.01054286956787
2,,
3,,
3,BOWL,SUM,1,0,1,0,2,49,104,0.0
3,CUP,SUM,1,0,0,1,0,111,51,0.0
3,SPOON,SUM,1,0,1,0,0,186,0,0.0
3,,SUM,3,0,2,1,2,346,155,0.0
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,44,0,10.256078004837036
4,CUP,SUM,1,0,0,1,0,122,55,0.0
4,SPOON,SUM,0,0,0,0,0,50,117,49.91239404678345
4,,SUM,1,0,0,1,0,216,172,60.16847205162048
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,94,28,18.830068111419678
5,CUP,SUM,1,0,0,1,0,136,92,0.0
5,SPOON,SUM,0,0,0,0,0,0,17,16.687727212905884
5,,SUM,1,0,0,1,0,230,137,35.51779532432556
5,,
6,,
6,BOWL,SUM,0,0,0,0,40,59,44,38.43129801750183
6,CUP,SUM,0,0,0,0,0,132,8,12.14149022102356
6,SPOON,SUM,0,0,0,0,0,33,19,20.311529874801636
6,,SUM,0,0,0,0,40,224,71,70.88431811332703
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,36,61,27.78350305557251
7,CUP,SUM,1,0,0,1,0,91,53,0.0
7,SPOON,SUM,1,0,1,0,0,179,24,0.0
7,,SUM,2,0,1,1,0,306,138,27.78350305557251
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,42,25,17.548959016799927
8,CUP,SUM,0,0,0,0,0,156,2,11.615709781646729
8,SPOON,SUM,1,0,1,0,0,186,0,0.0
8,,SUM,1,0,1,0,0,384,27,29.164668798446655
8,,
9,,
9,BOWL,SUM,1,0,1,0,2,76,104,0.0
9,CUP,SUM,1,0,0,1,0,136,51,0.0
9,SPOON,SUM,0,0,0,0,0,17,63,31.249682903289795
9,,SUM,2,0,1,1,2,229,218,31.249682903289795
9,,
10,,
10,BOWL,SUM,0,0,0,0,0,77,36,20.576672077178955
10,CUP,SUM,0,0,0,0,0,74,2,9.153569221496582
10,SPOON,SUM,1,0,1,0,0,186,0,0.0
10,,SUM,1,0,1,0,0,337,38,29.730241298675537
10,,
11,,
11,BOWL,SUM,0,0,0,0,0,53,53,25.129780054092407
11,CUP,SUM,0,0,0,0,0,187,6,12.738184928894043
