RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,65,54,30.449851036071777
0,CUP,SUM,1,0,0,1,0,108,60,0.0
0,SPOON,SUM,0,0,0,0,2,8,47,28.550117015838623
0,,SUM,1,0,0,1,2,181,161,58.9999680519104
0,,
1,,
1,BOWL,SUM,0,0,0,0,0,76,93,40.567732095718384
1,CUP,SUM,1,0,1,0,32,88,77,0.0
1,SPOON,SUM,1,0,1,0,14,309,0,0.0
1,,SUM,2,0,2,0,46,473,170,40.567732095718384
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,62,71,33.71971917152405
2,CUP,SUM,0,0,0,0,0,72,4,11.736799001693726
2,SPOON,SUM,0,0,0,0,0,28,19,22.499950885772705
2,,SUM,0,0,0,0,0,162,94,67.95646905899048
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,53,19,19.58426308631897
3,CUP,SUM,0,0,0,0,0,94,26,22.534301042556763
3,SPOON,SUM,0,0,0,0,0,24,19,22.721342086791992
3,,SUM,0,0,0,0,0,171,64,64.83990621566772
3,,
4,,
4,BOWL,SUM,1,0,1,0,0,161,98,0.0
4,CUP,SUM,0,0,0,0,0,75,78,31.811273097991943
4,SPOON,SUM,0,0,0,0,0,20,19,22.816452980041504
4,,SUM,1,0,1,0,0,256,195,54.62772607803345
4,,
5,,
5,BOWL,SUM,1,0,1,0,0,137,98,0.0
5,CUP,SUM,0,0,0,0,0,20,6,11.225651025772095
6,,
6,BOWL,SUM,0,0,0,0,0,65,54,30.00978994369507
6,CUP,SUM,1,0,0,1,0,108,60,0.0
6,SPOON,SUM,0,0,0,0,2,8,47,28.082998991012573
6,,SUM,1,0,0,1,2,181,161,58.09278893470764
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,76,93,39.98457908630371
7,CUP,SUM,1,0,1,0,32,88,77,0.0
7,SPOON,SUM,1,0,1,0,14,309,0,0.0
7,,SUM,2,0,2,0,46,473,170,39.98457908630371
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,62,71,33.2884418964386
8,CUP,SUM,0,0,0,0,0,72,4,11.551891088485718
8,SPOON,SUM,0,0,0,0,0,28,19,22.612344980239868
8,,SUM,0,0,0,0,0,162,94,67.45267796516418
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,53,19,19.368726015090942
9,CUP,SUM,0,0,0,0,0,94,26,22.337339878082275
9,SPOON,SUM,0,0,0,0,0,24,19,22.011937856674194
9,,SUM,0,0,0,0,0,171,64,63.71800374984741
9,,
10,,
10,BOWL,SUM,1,0,1,0,0,161,98,0.0
10,CUP,SUM,0,0,0,0,0,75,78,31.43077301979065
10,SPOON,SUM,0,0,0,0,0,20,19,22.588255882263184
10,,SUM,1,0,1,0,0,256,195,54.01902890205383
10,,
11,,
11,BOWL,SUM,1,0,1,0,0,137,98,0.0
11,CUP,SUM,0,0,0,0,0,20,6,11.02919602394104
11,SPOON,SUM,0,0,0,0,0,19,43,28.488879919052124
