RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,6,6,15.7989089489
0,CUP,SUM,0,0,0,0,2,3,8,8.3967828751
0,SPOON,SUM,0,0,0,0,0,1,0,11.3606410027
0,,SUM,0,0,0,0,2,10,14,35.5563328266
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,16,11,0,15.0820300579
1,CUP,SUM,0,0,0,0,0,3,20,14.1886210442
1,SPOON,SUM,0,0,0,0,0,1,0,11.2034759521
1,,SUM,0,0,0,0,16,15,20,40.4741270542
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,8,5,0,11.8901760578
2,CUP,SUM,0,0,0,0,0,3,8,7.711370945
2,SPOON,SUM,0,0,0,0,8,17,0,14.9883639812
2,,SUM,0,0,0,0,16,25,8,34.589910984
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,16,7,41,32.0300071239
3,CUP,SUM,0,0,0,0,0,5,77,27.8288981915
3,SPOON,SUM,1,0,1,0,0,23,19,0
3,,SUM,1,0,1,0,16,35,137,59.8589053154
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,3,0,7.6659319401
4,CUP,SUM,0,0,0,0,2,5,38,15.7413299084
4,SPOON,SUM,1,0,1,0,0,342,0,0
4,,SUM,1,0,1,0,2,350,38,23.4072618484
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,0,2,1,10.6052951813
5,CUP,SUM,0,0,0,0,8,6,17,15.5771460533
5,SPOON,SUM,1,0,1,0,0,9,11,0
5,,SUM,1,0,1,0,8,17,29,26.1824412346
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,24,5,0,19.4739069939
6,CUP,SUM,0,0,0,0,0,8,8,7.7932510376
6,SPOON,SUM,1,0,1,0,0,20,11,0
6,,SUM,1,0,1,0,24,33,19,27.2671580315
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,5,12,11.8866109848
7,CUP,SUM,0,0,0,0,0,6,8,7.5841121674
7,SPOON,SUM,1,0,1,0,0,41,10,0
7,,SUM,1,0,1,0,0,52,30,19.4707231522
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,0,8,21,18.0371940136
8,CUP,SUM,0,0,0,0,0,10,23,13.657638073
8,SPOON,SUM,1,0,1,0,0,66,10,0
8,,SUM,1,0,1,0,0,84,54,31.6948320866
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,1,0,7.8348038197
9,CUP,SUM,0,0,0,0,8,6,8,11.8644549847
9,SPOON,SUM,0,0,0,0,0,12,1,12.2061028481
9,,SUM,0,0,0,0,8,19,9,31.9053616524
9,,,,,,,,,,
10,,,,,,,,,,
