RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,2,9,9,16.9717421532
0,CUP,SUM,0,0,0,0,0,0,9,9.3507969379
0,SPOON,SUM,0,0,0,0,0,2,0,11.3196239471
0,,SUM,0,0,0,0,2,11,18,37.6421630383
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,14,3,2,20.4612090588
1,CUP,SUM,0,0,0,0,0,2,37,19.2070088387
1,SPOON,SUM,0,0,0,0,0,1,0,12.7714338303
1,,SUM,0,0,0,0,14,6,39,52.4396517277
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,0,0,0,0,0,1,0,7.7722299099
2,CUP,SUM,0,0,0,0,0,6,9,9.5963861942
2,SPOON,SUM,0,0,0,0,0,16,0,14.573086977
2,,SUM,0,0,0,0,0,23,9,31.9417030811
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,3,0,8.2646989822
3,CUP,SUM,0,0,0,0,0,1,27,13.6423377991
3,SPOON,SUM,0,0,0,0,0,1,0,11.5122010708
3,,SUM,0,0,0,0,0,5,27,33.4192378521
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,8,10,34,23.7731590271
4,CUP,SUM,0,0,0,0,2,0,9,10.6240410805
4,SPOON,SUM,0,0,0,0,0,5,6,14.2518231869
4,,SUM,0,0,0,0,10,15,49,48.6490232944
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,8,6,9,16.1566970348
5,CUP,SUM,0,0,0,0,0,3,21,12.8821470737
5,SPOON,SUM,0,0,0,0,8,3,0,15.3631789684
5,,SUM,0,0,0,0,16,12,30,44.402023077
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,1,0,1,0,0,8,44,0
6,CUP,SUM,0,0,0,0,8,4,28,19.1580660343
6,SPOON,SUM,0,0,0,0,8,1,0,16.1478590965
6,,SUM,1,0,1,0,16,13,72,35.3059251308
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,0,1,0,9.707310915
7,CUP,SUM,0,0,0,0,2,2,8,9.6947798729
7,SPOON,SUM,0,0,0,0,0,4,0,13.0249509811
7,,SUM,0,0,0,0,2,7,8,32.427041769
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,0,0,0,0,16,2,1,15.8578429222
8,CUP,SUM,1,0,1,0,16,9,51,0
8,SPOON,SUM,0,0,0,0,0,0,0,10.6815829277
8,,SUM,1,0,1,0,32,11,52,26.5394258499
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,8,5,1,16.6525259018
9,CUP,SUM,1,0,1,0,0,8,77,0
9,SPOON,SUM,0,0,0,0,2,8,5,17.160061121
9,,SUM,1,0,1,0,10,21,83,33.8125870228
9,,,,,,,,,,
10,,,,,,,,,,
