RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


20,,
20,BOWL,SUM,0,0,0,0,2,47,0,13.78581714630127
20,CUP,SUM,1,0,0,1,2,188,58,0.0
20,SPOON,SUM,0,0,0,0,0,125,0,20.95003318786621
20,,SUM,1,0,0,1,4,360,58,34.73585033416748
20,,
21,,
21,BOWL,SUM,0,0,0,0,0,53,0,13.247747898101807
21,CUP,SUM,0,0,0,0,0,27,14,24.23551607131958
21,SPOON,SUM,0,0,0,0,0,80,2,18.07046103477478
21,,SUM,0,0,0,0,0,160,16,55.55372500419617
21,,
22,,
22,BOWL,SUM,0,0,0,0,0,15,0,11.859118938446045
22,CUP,SUM,0,0,0,0,0,33,13,19.584190845489502
22,SPOON,SUM,0,0,0,0,16,63,2,24.22484803199768
22,,SUM,0,0,0,0,16,111,15,55.66815781593323
22,,
23,,
23,BOWL,SUM,0,0,0,0,0,13,0,10.66537094116211
23,CUP,SUM,1,0,1,0,0,280,81,0.0
23,SPOON,SUM,0,0,0,0,0,0,0,13.794100999832153
23,,SUM,1,0,1,0,0,293,81,24.459471940994263
23,,
24,,
24,BOWL,SUM,0,0,0,0,2,5,0,10.852939128875732
24,CUP,SUM,1,0,0,1,0,185,51,0.0
24,SPOON,SUM,0,0,0,0,0,35,0,15.279842853546143
24,,SUM,1,0,0,1,2,225,51,26.132781982421875
24,,
25,,
25,BOWL,SUM,0,0,0,0,0,17,0,10.735448837280273
25,CUP,SUM,0,0,0,0,0,10,5,11.906934022903442
25,SPOON,SUM,0,0,0,0,2,17,3,16.28773283958435
25,,SUM,0,0,0,0,2,44,8,38.930115699768066
25,,
26,,
26,BOWL,SUM,0,0,0,0,0,9,0,10.646228075027466
26,CUP,SUM,1,0,0,1,0,228,54,0.0
26,SPOON,SUM,0,0,0,0,0,29,0,14.428622961044312
26,,SUM,1,0,0,1,0,266,54,25.074851036071777
26,,
27,,
27,BOWL,SUM,0,0,0,0,0,0,0,10.294739961624146
27,CUP,SUM,0,0,0,0,0,37,9,15.870995044708252
27,SPOON,SUM,0,0,0,0,0,1,2,13.735243082046509
27,,SUM,0,0,0,0,0,38,11,39.900978088378906
27,,
28,,
28,BOWL,SUM,0,0,0,0,0,11,0,10.87513017654419
28,CUP,SUM,0,0,0,0,0,22,1,10.793434143066406
28,SPOON,SUM,0,0,0,0,0,49,0,15.872761011123657
28,,SUM,0,0,0,0,0,82,1,37.54132533073425
28,,
29,,
29,BOWL,SUM,0,0,0,0,2,11,0,11.241461992263794
29,CUP,SUM,0,0,0,0,2,16,10,18.71555995941162
29,SPOON,SUM,0,0,0,0,0,2,3,15.333929061889648
29,,SUM,0,0,0,0,4,29,13,45.29095101356506
29,,
