RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,2,45,14,35.26452302932739
0,CUP,SUM,1,0,0,1,0,469,58,0.0
0,SPOON,SUM,1,0,1,0,0,1581,0,0.0
0,,SUM,2,0,1,1,2,2095,72,35.26452302932739
0,,
1,,
1,BOWL,SUM,0,0,0,0,6,28,6,25.85601305961609
1,CUP,SUM,0,0,0,0,0,13,2,12.409448146820068
1,SPOON,SUM,0,0,0,0,0,1,14,29.9533531665802
1,,SUM,0,0,0,0,6,42,22,68.21881437301636
1,,
2,,
2,BOWL,SUM,1,0,1,0,0,1404,18,0.0
2,CUP,SUM,0,0,0,0,0,14,10,18.43154788017273
2,SPOON,SUM,1,0,1,0,0,1564,8,0.0
2,,SUM,2,0,2,0,0,2982,36,18.43154788017273
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,35,0,15.790754079818726
3,CUP,SUM,0,0,0,0,0,10,0,11.57533597946167
3,SPOON,SUM,0,0,0,0,0,36,2,18.805893898010254
3,,SUM,0,0,0,0,0,81,2,46.17198395729065
3,,
4,,
4,BOWL,SUM,0,0,0,0,6,45,16,38.230873107910156
4,CUP,SUM,0,0,0,0,0,92,0,16.134905099868774
4,SPOON,SUM,0,0,0,0,0,216,0,29.674817085266113
4,,SUM,0,0,0,0,6,353,16,84.04059529304504
4,,
5,,
5,BOWL,SUM,0,0,0,0,0,387,2,41.53441596031189
5,CUP,SUM,0,0,0,0,0,31,2,13.482014179229736
5,SPOON,SUM,0,0,0,0,0,26,4,17.79829502105713
5,,SUM,0,0,0,0,0,444,8,72.81472516059875
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,38,13,25.44232702255249
6,CUP,SUM,0,0,0,0,2,53,7,18.7336528301239
6,SPOON,SUM,1,0,1,0,2,1581,5,0.0
6,,SUM,1,0,1,0,4,1672,25,44.17597985267639
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,23,8,20.340171813964844
7,CUP,SUM,1,0,1,0,2,524,107,0.0
7,SPOON,SUM,0,0,0,0,0,46,9,36.318702936172485
7,,SUM,1,0,1,0,2,593,124,56.65887475013733
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,15,5,16.030744791030884
8,CUP,SUM,0,0,0,0,6,73,0,16.65789484977722
8,SPOON,SUM,0,0,0,0,0,161,1,29.691219091415405
8,,SUM,0,0,0,0,6,249,6,62.37985873222351
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,167,8,33.539669036865234
9,CUP,SUM,0,0,0,0,0,9,4,12.90775179862976
9,SPOON,SUM,0,0,0,0,4,567,4,52.225929975509644
9,,SUM,0,0,0,0,4,743,16,98.67335081100464
9,,
10,,
10,BOWL,SUM,0,0,0,0,6,29,5,23.604433059692383
10,CUP,SUM,0,0,0,0,8,12,8,18.779245138168335
10,SPOON,SUM,0,0,0,0,0,35,0,17.461730003356934
10,,SUM,0,0,0,0,14,76,13,59.84540820121765
10,,
11,,
