RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,16,0,0,16.0908989906
0,CUP,SUM,1,0,0,1,0,0,11,0
0,SPOON,SUM,1,0,1,0,0,5,44,0
0,,SUM,2,0,1,1,16,5,55,16.0908989906
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,0,0,0,0,8,1,13,13.5569479465
1,CUP,SUM,0,0,0,0,16,2,14,15.1056079865
1,SPOON,SUM,0,0,0,0,0,0,0,9.9465920925
1,,SUM,0,0,0,0,24,3,27,38.6091480255
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,0,1,0,0,1,44,0
2,CUP,SUM,1,0,0,1,0,5,32,0
2,SPOON,SUM,0,0,0,0,0,0,9,11.9806311131
2,,SUM,2,0,1,1,0,6,85,11.9806311131
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,0,0,0,0,0,0,4,7.8048260212
3,CUP,SUM,0,0,0,0,0,1,11,6.6010439396
3,SPOON,SUM,0,0,0,0,0,0,0,10.4570579529
3,,SUM,0,0,0,0,0,1,15,24.8629279137
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,0,0,0,0,0,1,4,7.902613163
4,CUP,SUM,1,0,0,1,16,0,12,0
4,SPOON,SUM,0,0,0,0,0,2,20,13.772217989
4,,SUM,1,0,0,1,16,3,36,21.674831152
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,0,0,0,0,24,4,36,24.1229500771
5,CUP,SUM,0,0,0,0,0,0,2,4.5270810127
5,SPOON,SUM,0,0,0,0,0,0,7,12.2756679058
5,,SUM,0,0,0,0,24,4,45,40.9256989956
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,0,0,0,0,8,2,13,12.9568269253
6,CUP,SUM,1,0,0,1,0,0,11,0
6,SPOON,SUM,0,0,0,0,0,0,5,11.7542731762
6,,SUM,1,0,0,1,8,2,29,24.7111001015
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,0,0,0,0,44,2,9,27.55534482
7,CUP,SUM,0,0,0,0,24,3,10,16.7267870903
7,SPOON,SUM,1,0,1,0,8,3,44,0
7,,SUM,1,0,1,0,76,8,63,44.2821319103
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,0,1,0,24,4,44,0
8,CUP,SUM,1,0,0,1,0,1,18,0
8,SPOON,SUM,0,0,0,0,0,1,8,11.8552091122
8,,SUM,2,0,1,1,24,6,70,11.8552091122
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,0,0,0,0,0,0,5,8.5220751762
9,CUP,SUM,1,0,0,1,0,2,11,0
9,SPOON,SUM,0,0,0,0,8,1,1,13.6455879211
9,,SUM,1,0,0,1,8,3,17,22.1676630974
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,0,0,0,0,0,3,32,13.3466501236
