RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,0,33,7,365.94985008239746
0,CUP,SUM,0,0,0,0,0,57,7,286.6138548851013
0,SPOON,SUM,0,0,0,0,0,253,2,325.2419629096985
0,,SUM,0,0,0,0,0,343,16,977.8056678771973
0,,
1,,
1,BOWL,SUM,0,0,0,0,2,54,10,419.5659730434418
1,CUP,SUM,0,0,0,0,0,23,19,365.29664516448975
1,SPOON,SUM,0,0,0,0,0,106,2,288.97956705093384
1,,SUM,0,0,0,0,2,183,31,1073.8421852588654
1,,
2,,
2,BOWL,SUM,0,0,0,0,0,21,2,259.6538689136505
2,CUP,SUM,0,0,0,0,0,19,9,273.9986779689789
2,SPOON,SUM,0,0,0,0,2,22,3,309.00118589401245
2,,SUM,0,0,0,0,2,62,14,842.6537327766418
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,36,2,334.933296918869
3,CUP,SUM,1,0,1,0,0,486,103,0.0
3,SPOON,SUM,0,0,0,0,0,38,8,281.98150181770325
3,,SUM,1,0,1,0,0,560,113,616.9147987365723
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,63,2,316.89944100379944
4,CUP,SUM,0,0,0,0,0,6,18,340.0977020263672
4,SPOON,SUM,0,0,0,0,0,87,3,315.7515640258789
4,,SUM,0,0,0,0,0,156,23,972.7487070560455
4,,
5,,
5,BOWL,SUM,0,0,0,0,26/5,12,8,370.76336193084717
5,CUP,SUM,0,0,0,0,0,44,10,252.24900102615356
5,SPOON,SUM,0,0,0,0,0,7,3,301.9959981441498
5,,SUM,0,0,0,0,26/5,63,21,925.0083611011505
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,49,9,384.7708830833435
6,CUP,SUM,0,0,0,0,0,17,7,272.2494421005249
6,SPOON,SUM,0,0,0,0,2,96,4,309.7554998397827
6,,SUM,0,0,0,0,2,162,20,966.7758250236511
6,,
7,,
7,BOWL,SUM,0,0,0,0,4,31,10,472.8920171260834
7,CUP,SUM,0,0,0,0,0,19,6,303.3928611278534
7,SPOON,SUM,0,0,0,0,0,218,18,501.08270502090454
7,,SUM,0,0,0,0,4,268,34,1277.3675832748413
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,23,6,327.0218451023102
8,CUP,SUM,0,0,0,0,0,31,10,253.1286039352417
8,SPOON,SUM,0,0,0,0,0,179,11,384.2089059352875
8,,SUM,0,0,0,0,0,233,27,964.3593549728394
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,64,21,585.2709369659424
9,CUP,SUM,0,0,0,0,0,113,18,427.6284599304199
9,SPOON,SUM,0,0,0,0,4,387,10,503.0593378543854
9,,SUM,0,0,0,0,4,564,49,1515.9587347507477
9,,
