RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC


0,,
0,BOWL,SUM,0,0,0,0,2,11,2,275.94864296913147
0,CUP,SUM,0,0,0,0,2,26,9,299.26485991477966
0,SPOON,SUM,0,0,0,0,0,417,52,823.3371441364288
0,,SUM,0,0,0,0,4,454,63,1398.55064702034
0,,
1,,
1,BOWL,SUM,0,0,0,0,2,10,2,330.8760600090027
1,CUP,SUM,0,0,0,0,0,18,10,290.7592189311981
1,SPOON,SUM,0,0,0,0,0,20,4,289.87154603004456
1,,SUM,0,0,0,0,2,48,16,911.5068249702454
1,,
2,,
2,BOWL,SUM,0,0,0,0,4,28,21,540.8004508018494
2,CUP,SUM,0,0,0,0,0,18,5,271.5093071460724
2,SPOON,SUM,0,0,0,0,0,244,4,360.4742591381073
2,,SUM,0,0,0,0,4,290,30,1172.784017086029
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,30,9,365.2307140827179
3,CUP,SUM,0,0,0,0,0,9,13,311.25146293640137
3,SPOON,SUM,0,0,0,0,0,100,5,318.372887134552
3,,SUM,0,0,0,0,0,139,27,994.8550641536713
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,26,7,358.6695840358734
4,CUP,SUM,0,0,0,0,0,10,8,254.58155298233032
4,SPOON,SUM,0,0,0,0,0,135,3,312.98862886428833
4,,SUM,0,0,0,0,0,171,18,926.2397658824921
4,,
5,,
5,,
5,BOWL,SUM,0,0,0,0,0,32,13,424.11385011672974
5,CUP,SUM,0,0,0,0,0,198,110,1281.6271591186523
5,SPOON,SUM,0,0,0,0,0,15,6,288.8606469631195
5,,SUM,0,0,0,0,0,245,129,1994.6016561985016
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,37,8,374.67651104927063
6,CUP,SUM,0,0,0,0,0,25,12,312.12598299980164
6,SPOON,SUM,0,0,0,0,0,32,3,295.2926199436188
6,,SUM,0,0,0,0,0,94,23,982.095113992691
6,,
7,,
7,BOWL,SUM,0,0,0,0,0,4,10,425.1232850551605
7,CUP,SUM,0,0,0,0,0,34,18,338.1843798160553
7,SPOON,SUM,0,0,0,0,0,37,2,289.339595079422
7,,SUM,0,0,0,0,0,75,30,1052.6472599506378
7,,
8,,
8,BOWL,SUM,0,0,0,0,2,160,29,772.4567189216614
8,CUP,SUM,0,0,0,0,24,46,10,655.8776910305023
8,SPOON,SUM,0,0,0,0,0,20,8,320.9357922077179
8,,SUM,0,0,0,0,26,226,47,1749.2702021598816
8,,
9,,
9,BOWL,SUM,0,0,0,0,0,90,13,432.4498689174652
9,CUP,SUM,1,0,0,1,0,190,118,0.0
9,SPOON,SUM,0,0,0,0,6,9,21,573.8102669715881
9,,SUM,1,0,0,1,6,289,152,1006.2601358890533
9,,
