RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,90,5,26.1466691493988
0,CUP,SUM,0,0,0,0,0,3,2,9.97815203666687
0,SPOON,SUM,1,1,0,0,0,1519,0,0
0,,SUM,1,1,0,0,0,1612,7,36.1248211860657
0,,,,,,,,,,
1,,,,,,,,,,
1,BOWL,SUM,1,1,0,0,0,1519,0,0
1,CUP,SUM,0,0,0,0,2,106,12,20.0764589309692
1,SPOON,SUM,0,0,0,0,0,95,4,26.8373618125916
1,,SUM,1,1,0,0,2,1720,16,46.9138207435608
1,,,,,,,,,,
2,,,,,,,,,,
2,BOWL,SUM,1,1,0,0,0,1519,0,0
2,CUP,SUM,1,1,0,0,0,1519,0,0
2,SPOON,SUM,1,1,0,0,0,1519,0,0
2,,SUM,3,3,0,0,0,4557,0,0
2,,,,,,,,,,
3,,,,,,,,,,
3,BOWL,SUM,1,1,0,0,0,1519,0,0
3,CUP,SUM,0,0,0,0,0,48,6,15.5141007900238
3,SPOON,SUM,1,1,0,0,0,1519,0,0
3,,SUM,2,2,0,0,0,3086,6,15.5141007900238
3,,,,,,,,,,
4,,,,,,,,,,
4,BOWL,SUM,1,1,0,0,0,1519,0,0
4,CUP,SUM,1,1,0,0,0,1519,0,0
4,SPOON,SUM,1,1,0,0,0,1519,0,0
4,,SUM,3,3,0,0,0,4557,0,0
4,,,,,,,,,,
5,,,,,,,,,,
5,BOWL,SUM,1,1,0,0,0,1519,0,0
5,CUP,SUM,1,1,0,0,0,1519,0,0
5,SPOON,SUM,1,1,0,0,0,1519,0,0
5,,SUM,3,3,0,0,0,4557,0,0
5,,,,,,,,,,
6,,,,,,,,,,
6,BOWL,SUM,1,1,0,0,0,1519,0,0
6,CUP,SUM,1,1,0,0,0,1519,0,0
6,SPOON,SUM,0,0,0,0,0,431,0,40.2405681610107
6,,SUM,2,2,0,0,0,3469,0,40.2405681610107
6,,,,,,,,,,
7,,,,,,,,,,
7,BOWL,SUM,1,1,0,0,0,1519,0,0
7,CUP,SUM,1,1,0,0,0,1519,0,0
7,SPOON,SUM,1,1,0,0,0,1519,0,0
7,,SUM,3,3,0,0,0,4557,0,0
7,,,,,,,,,,
8,,,,,,,,,,
8,BOWL,SUM,1,0,1,0,0,1589,0,0
8,CUP,SUM,1,1,0,0,0,1519,0,0
8,SPOON,SUM,0,0,0,0,0,0,0,15.1040799617767
8,,SUM,2,1,1,0,0,3108,0,15.1040799617767
8,,,,,,,,,,
9,,,,,,,,,,
9,BOWL,SUM,1,1,0,0,0,1519,0,0
9,CUP,SUM,1,1,0,0,0,1519,0,0
9,SPOON,SUM,1,1,0,0,0,1519,0,0
9,,SUM,3,3,0,0,0,4557,0,0
9,,,,,,,,,,
10,,,,,,,,,,
10,BOWL,SUM,0,0,0,0,32,23,0,28.5528178215027
10,CUP,SUM,1,1,0,0,0,1519,0,0
10,SPOON,SUM,1,1,0,0,0,1519,0,0
