RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC
,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
0,BOWL,SUM,0,0,0,0,0,112,16,32.7683079243
0,CUP,SUM,1,0,1,0,10,316,55,0
0,SPOON,SUM,0,0,0,0,0,29,2,17.0862081051
0,,SUM,1,0,1,0,10,457,73,49.8545160294
0,,,,,,,,,,
1,,
1,BOWL,SUM,0,0,0,0,0,41,8,20.2760112285614
1,CUP,SUM,1,0,1,0,2,253,58,0.0
1,SPOON,SUM,0,0,0,0,0,5,0,14.174990892410278
1,,SUM,1,0,1,0,2,299,66,34.45100212097168
1,,
2,,
2,BOWL,SUM,1,0,1,0,0,1394,24,0.0
2,CUP,SUM,0,0,0,0,2,26,10,21.474703073501587
2,SPOON,SUM,0,0,0,0,0,72,0,18.084784030914307
2,,SUM,1,0,1,0,2,1492,34,39.559487104415894
2,,
3,,
3,BOWL,SUM,0,0,0,0,0,24,2,12.354676008224487
3,CUP,SUM,0,0,0,0,0,26,6,11.680999040603638
3,SPOON,SUM,0,0,0,0,2,164,2,26.44410991668701
3,,SUM,0,0,0,0,2,214,10,50.47978496551514
3,,
4,,
4,BOWL,SUM,0,0,0,0,0,85,0,14.934913873672485
4,CUP,SUM,0,0,0,0,0,21,5,10.665835857391357
4,SPOON,SUM,0,0,0,0,24,322,1,40.62073087692261
4,,SUM,0,0,0,0,24,428,6,66.22148060798645
4,,
5,,
5,BOWL,SUM,1,0,1,0,24,1053,64,0.0
5,CUP,SUM,1,0,1,0,0,467,58,0.0
5,SPOON,SUM,0,0,0,0,0,71,0,16.666606187820435
5,,SUM,2,0,2,0,24,1591,122,16.666606187820435
5,,
6,,
6,BOWL,SUM,0,0,0,0,0,95,0,15.163646936416626
6,CUP,SUM,0,0,0,0,0,5,8,11.211496114730835
6,SPOON,SUM,1,0,1,0,20,1446,0,0.0
6,,SUM,1,0,1,0,20,1546,8,26.37514305114746
6,,
7,,
7,BOWL,SUM,0,0,0,0,14,12,0,15.97328805923462
7,CUP,SUM,0,0,0,0,0,13,1,8.52950382232666
7,SPOON,SUM,1,0,1,0,12,1489,0,0.0
7,,SUM,1,0,1,0,26,1514,1,24.50279188156128
7,,
8,,
8,BOWL,SUM,0,0,0,0,0,80,0,12.848326921463013
8,CUP,SUM,1,0,1,0,2,235,111,0.0
8,SPOON,SUM,0,0,0,0,0,14,0,13.550479173660278
8,,SUM,1,0,1,0,2,329,111,26.39880609512329
8,,
9,,
9,BOWL,SUM,1,0,1,0,0,1075,58,0.0
9,CUP,SUM,0,0,0,0,0,34,17,17.961838960647583
9,SPOON,SUM,1,0,1,0,0,1434,18,0.0
9,,SUM,2,0,2,0,0,2543,93,17.961838960647583
9,,
10,,
10,BOWL,SUM,0,0,0,0,6,26,2,12.71499490737915
10,CUP,SUM,1,0,1,0,0,407,106,0.0
10,SPOON,SUM,0,0,0,0,0,267,1,28.428436994552612
10,,SUM,1,0,1,0,6,700,109,41.14343190193176
10,,
11,,
